county,prec_id,year,method,birthday,city,N,birthyr,pct,co,precinct
Flathead,PREC 07,2016,absent,1959-02-23,0,636,1959.1466127706103,0.6109510086455331,Flathead,7
Flathead,PREC 07,2016,polls,1966-01-05,0,405,1966.0117085371933,0.38904899135446686,Flathead,7
Flathead,PREC 07,2017,absent,1957-08-07,0,569,1957.5998599798631,0.7211660329531052,Flathead,7
Flathead,PREC 07,2017,polls,1962-10-22,0,220,1962.806321946363,0.2788339670468948,Flathead,7
Flathead,PREC 08,2014,absent,1955-05-10,0,329,1955.3544372530785,0.5741710296684118,Flathead,8
Flathead,PREC 08,2014,polls,1959-12-25,0,244,1959.9811155619886,0.4258289703315881,Flathead,8
Flathead,PREC 08,2016,absent,1959-04-10,0,439,1959.27126083018,0.5473815461346634,Flathead,8
Flathead,PREC 08,2016,polls,1964-04-18,0,363,1964.295224034257,0.45261845386533667,Flathead,8
Flathead,PREC 08,2017,absent,1957-11-09,0,383,1957.8559947673452,0.6351575456053068,Flathead,8
Flathead,PREC 08,2017,polls,1960-01-02,0,220,1960.0030987493,0.3648424543946932,Flathead,8
Flathead,PREC 11,2014,absent,1954-07-16,0,357,1954.5391955550188,0.4811320754716981,Flathead,11
Flathead,PREC 11,2014,polls,1957-05-24,0,385,1957.3941954007662,0.5188679245283019,Flathead,11
Flathead,PREC 11,2016,absent,1959-10-10,0,512,1959.771549880219,0.4785046728971963,Flathead,11
Flathead,PREC 11,2016,polls,1962-03-26,0,558,1962.2309558681022,0.5214953271028038,Flathead,11
Flathead,PREC 11,2017,absent,1958-02-04,0,451,1958.0936514946632,0.5466666666666666,Flathead,11
Flathead,PREC 11,2017,polls,1958-10-23,0,374,1958.8098474782857,0.4533333333333333,Flathead,11
Flathead,PREC 13,2014,absent,1952-03-13,0,504,1952.1961746140391,0.5316455696202531,Flathead,13
Flathead,PREC 13,2014,polls,1955-03-26,0,444,1955.2301274580536,0.46835443037974683,Flathead,13
Flathead,PREC 13,2016,absent,1956-10-29,0,703,1956.827670207763,0.4878556557945871,Flathead,13
Flathead,PREC 13,2016,polls,1962-11-30,0,738,1962.9134627691246,0.5121443442054129,Flathead,13
Flathead,PREC 13,2017,absent,1954-11-25,0,608,1954.8990147339603,0.5714285714285714,Flathead,13
Flathead,PREC 13,2017,polls,1958-06-30,0,456,1958.4952988220036,0.42857142857142855,Flathead,13
Flathead,PREC 14,2014,absent,1954-11-21,0,246,1954.8885216162223,0.5801886792452831,Flathead,14
Flathead,PREC 14,2014,polls,1958-09-14,0,178,1958.702227964531,0.419811320754717,Flathead,14
Flathead,PREC 14,2016,absent,1959-05-14,0,333,1959.3635401315073,0.5842105263157895,Flathead,14
Flathead,PREC 14,2016,polls,1964-09-15,0,237,1964.7071337185962,0.41578947368421054,Flathead,14
Flathead,PREC 14,2017,absent,1957-07-27,0,290,1957.5681937265454,0.6029106029106029,Flathead,14
Flathead,PREC 14,2017,polls,1961-05-26,0,191,1961.3996079569683,0.3970893970893971,Flathead,14
Flathead,PREC 15,2014,absent,1959-04-19,0,285,1959.2970303925454,0.4965156794425087,Flathead,15
Flathead,PREC 15,2014,polls,1961-05-30,0,289,1961.411324186638,0.5034843205574913,Flathead,15
Flathead,PREC 15,2016,absent,1963-06-06,0,443,1963.4276315891123,0.46290491118077326,Flathead,15
Flathead,PREC 15,2016,polls,1965-12-24,0,514,1965.979652548625,0.5370950888192267,Flathead,15
Flathead,PREC 15,2017,absent,1961-01-18,0,368,1961.0496607445764,0.5575757575757576,Flathead,15
Flathead,PREC 15,2017,polls,1961-11-02,0,292,1961.8374729262187,0.44242424242424244,Flathead,15
Flathead,PREC 16,2014,absent,1955-01-24,0.8629283489096573,321,1955.0630793145137,0.5323383084577115,Flathead,16
Flathead,PREC 16,2014,polls,1963-11-19,0.9078014184397163,282,1963.8835733807118,0.46766169154228854,Flathead,16
Flathead,PREC 16,2016,absent,1960-02-02,0.8855291576673866,463,1960.0864374381877,0.48634453781512604,Flathead,16
Flathead,PREC 16,2016,polls,1967-12-18,0.901840490797546,489,1967.9625239177021,0.5136554621848739,Flathead,16
Flathead,PREC 16,2017,absent,1957-06-10,0.8794520547945206,365,1957.44059332602,0.5641421947449768,Flathead,16
Flathead,PREC 16,2017,polls,1965-08-25,0.8936170212765957,282,1965.6492444211435,0.43585780525502316,Flathead,16
Flathead,PREC 17,2014,absent,1954-10-26,0,122,1954.818078791755,0.6224489795918368,Flathead,17
Flathead,PREC 17,2014,polls,1954-04-02,0,74,1954.2515862885473,0.37755102040816324,Flathead,17
Flathead,PREC 17,2016,absent,1958-11-06,0,165,1958.847572231556,0.5913978494623656,Flathead,17
Flathead,PREC 17,2016,polls,1961-08-07,0,114,1961.5981363401659,0.40860215053763443,Flathead,17
Flathead,PREC 17,2017,absent,1958-02-02,0,154,1958.0889268158262,0.6609442060085837,Flathead,17
Flathead,PREC 17,2017,polls,1961-08-31,0,79,1961.665081139154,0.33905579399141633,Flathead,17
Flathead,PREC 18,2014,absent,1954-12-17,0.028688524590163935,488,1954.9607556019344,0.5202558635394456,Flathead,18
Flathead,PREC 18,2014,polls,1958-11-16,0.0022222222222222222,450,1958.8737942048824,0.47974413646055436,Flathead,18
Flathead,PREC 18,2016,absent,1958-08-27,0.02158273381294964,695,1958.6527312031278,0.4911660777385159,Flathead,18
Flathead,PREC 18,2016,polls,1964-02-26,0.001388888888888889,720,1964.154285496996,0.508833922261484,Flathead,18
Flathead,PREC 18,2017,absent,1957-07-13,0.01788617886178862,615,1957.5314758239986,0.5818353831598865,Flathead,18
Flathead,PREC 18,2017,polls,1960-09-20,0.0022624434389140274,442,1960.7195344414815,0.4181646168401135,Flathead,18
Flathead,PREC 19,2014,absent,1955-09-06,0,305,1955.680196586663,0.49432739059967584,Flathead,19
Flathead,PREC 19,2014,polls,1961-11-24,0,312,1961.8983572895277,0.5056726094003241,Flathead,19
Flathead,PREC 19,2016,absent,1962-02-20,0,489,1962.1388465473826,0.4812992125984252,Flathead,19
Flathead,PREC 19,2016,polls,1966-04-07,0,527,1966.2649844729572,0.5187007874015748,Flathead,19
Flathead,PREC 19,2017,absent,1958-07-31,0,402,1958.5790622520526,0.5742857142857143,Flathead,19
Flathead,PREC 19,2017,polls,1962-01-05,0,298,1962.0114567111798,0.4257142857142857,Flathead,19
Flathead,PREC 20,2014,absent,1957-10-11,0.9519071310116086,603,1957.776277181285,0.5688679245283019,Flathead,20
Flathead,PREC 20,2014,polls,1963-05-24,0.949671772428884,457,1963.3935181232841,0.43113207547169813,Flathead,20
Flathead,PREC 20,2016,absent,1962-08-06,0.9585152838427947,916,1962.5952195212349,0.5636923076923077,Flathead,20
Flathead,PREC 20,2016,polls,1968-07-04,0.9590973201692524,709,1968.506817113305,0.4363076923076923,Flathead,20
Flathead,PREC 20,2017,absent,1961-08-08,0.9613947696139477,803,1961.6011500337117,0.6134453781512605,Flathead,20
Flathead,PREC 20,2017,polls,1967-04-10,0.9565217391304348,506,1967.2706874115677,0.3865546218487395,Flathead,20
Flathead,PREC 21,2014,absent,1954-05-11,0,335,1954.3583070274908,0.5464926590538336,Flathead,21
Flathead,PREC 21,2014,polls,1959-10-18,0,278,1959.7939127137715,0.4535073409461664,Flathead,21
Flathead,PREC 21,2016,absent,1959-03-04,0,476,1959.1710466527472,0.5173913043478261,Flathead,21
Flathead,PREC 21,2016,polls,1965-02-24,0,444,1965.1498479999507,0.4826086956521739,Flathead,21
Flathead,PREC 21,2017,absent,1956-08-07,0,409,1956.5988496340885,0.6150375939849624,Flathead,21
Flathead,PREC 21,2017,polls,1960-11-29,0,256,1960.9106562286106,0.3849624060150376,Flathead,21
Flathead,PREC 23,2014,absent,1955-04-13,0,249,1955.2791480775945,0.4330434782608696,Flathead,23
Flathead,PREC 23,2014,polls,1958-03-04,0,326,1958.1709729028357,0.5669565217391305,Flathead,23
Flathead,PREC 23,2016,absent,1959-04-18,0,356,1959.2948726822478,0.42280285035629456,Flathead,23
Flathead,PREC 23,2016,polls,1962-05-11,0,486,1962.3572106595911,0.5771971496437055,Flathead,23
Flathead,PREC 23,2017,absent,1958-05-30,0,309,1958.4095080507432,0.49203821656050956,Flathead,23
Flathead,PREC 23,2017,polls,1959-08-31,0,319,1959.663866591998,0.5079617834394905,Flathead,23
Flathead,PREC 24,2014,absent,1953-04-23,0,222,1953.3074347448064,0.49223946784922396,Flathead,24
Flathead,PREC 24,2014,polls,1958-12-13,0,229,1958.9496516413656,0.5077605321507761,Flathead,24
Flathead,PREC 24,2016,absent,1957-06-08,0,322,1957.4343787331914,0.46264367816091956,Flathead,24
Flathead,PREC 24,2016,polls,1964-03-08,0,374,1964.184373021189,0.5373563218390804,Flathead,24
Flathead,PREC 24,2017,absent,1955-10-15,0,285,1955.7874323042377,0.5470249520153551,Flathead,24
Flathead,PREC 24,2017,polls,1961-09-02,0,236,1961.670112182276,0.45297504798464494,Flathead,24
Flathead,PREC 25,2014,absent,1953-09-28,0,447,1953.7400144242474,0.6269284712482468,Flathead,25
Flathead,PREC 25,2014,polls,1959-05-15,0,266,1959.3677211509266,0.37307152875175315,Flathead,25
Flathead,PREC 25,2016,absent,1959-07-19,0,638,1959.54418217436,0.5636042402826855,Flathead,25
Flathead,PREC 25,2016,polls,1967-11-09,0,494,1967.8550657167323,0.4363957597173145,Flathead,25
Flathead,PREC 25,2017,absent,1956-10-04,0,531,1956.7591039339204,0.6764331210191082,Flathead,25
Flathead,PREC 25,2017,polls,1962-02-23,0,254,1962.1453216705202,0.3235668789808917,Flathead,25
Flathead,PREC 26,2014,absent,1953-03-13,0,207,1953.1968177444473,0.5012106537530266,Flathead,26
Flathead,PREC 26,2014,polls,1958-08-11,0,206,1958.6084806921713,0.49878934624697335,Flathead,26
Flathead,PREC 26,2016,absent,1956-08-11,0,304,1956.6101624698297,0.4911147011308562,Flathead,26
Flathead,PREC 26,2016,polls,1962-11-30,0,315,1962.9126169290441,0.5088852988691438,Flathead,26
Flathead,PREC 26,2017,absent,1955-04-09,0,238,1955.269419472101,0.5458715596330275,Flathead,26
Flathead,PREC 26,2017,polls,1959-10-18,0,198,1959.7960024613003,0.4541284403669725,Flathead,26
Flathead,PREC 29,2014,absent,1956-12-13,0.1606425702811245,498,1956.9495504262086,0.5050709939148073,Flathead,29
Flathead,PREC 29,2014,polls,1960-11-06,0.08401639344262295,488,1960.847841698365,0.4949290060851927,Flathead,29
Flathead,PREC 29,2016,absent,1960-12-02,0.16358463726884778,703,1960.9210258567223,0.48887343532684285,Flathead,29
Flathead,PREC 29,2016,polls,1965-07-27,0.10068027210884353,735,1965.5674680002048,0.5111265646731572,Flathead,29
Flathead,PREC 29,2017,absent,1958-12-23,0.15650741350906094,607,1958.9773766473056,0.5625579240037072,Flathead,29
Flathead,PREC 29,2017,polls,1962-12-30,0.09110169491525423,472,1962.994564902145,0.43744207599629287,Flathead,29
Flathead,PREC 31,2014,absent,1956-07-29,0.7815845824411135,934,1956.5750248795596,0.6289562289562289,Flathead,31
Flathead,PREC 31,2014,polls,1967-04-04,0.7731397459165155,551,1967.2560225885113,0.37104377104377106,Flathead,31
Flathead,PREC 31,2016,absent,1961-11-19,0.804499612102405,1289,1961.8846130767952,0.5959315765141008,Flathead,31
Flathead,PREC 31,2016,polls,1971-03-18,0.8077803203661327,874,1971.2076208734495,0.4040684234858992,Flathead,31
Flathead,PREC 31,2017,absent,1960-03-02,0.7989371124889283,1129,1960.1663577793822,0.7069505322479649,Flathead,31
Flathead,PREC 31,2017,polls,1965-11-04,0.7756410256410257,468,1965.8415966116172,0.29304946775203505,Flathead,31
Flathead,PREC 32,2014,absent,1957-11-04,0.9799196787148594,249,1957.8429969020503,0.5377969762419006,Flathead,32
Flathead,PREC 32,2014,polls,1966-12-07,0.9766355140186916,214,1966.9319055569415,0.46220302375809935,Flathead,32
Flathead,PREC 32,2016,absent,1963-10-01,0.9853300733496333,409,1963.7470768087637,0.5,Flathead,32
Flathead,PREC 32,2016,polls,1972-09-25,0.980440097799511,409,1972.7331315088804,0.5,Flathead,32
Flathead,PREC 32,2017,absent,1960-02-16,0.984472049689441,322,1960.1272930563173,0.5760286225402504,Flathead,32
Flathead,PREC 32,2017,polls,1969-09-03,0.9831223628691983,237,1969.6720470633084,0.42397137745974955,Flathead,32
Flathead,PREC 33,2014,absent,1953-12-07,0,130,1953.9322066024324,0.5726872246696035,Flathead,33
Flathead,PREC 33,2014,polls,1960-10-27,0,97,1960.8226959362673,0.42731277533039647,Flathead,33
Flathead,PREC 33,2016,absent,1958-03-31,0,217,1958.2450313370364,0.566579634464752,Flathead,33
Flathead,PREC 33,2016,polls,1965-07-28,0,166,1965.5713779141206,0.43342036553524804,Flathead,33
Flathead,PREC 33,2017,absent,1955-05-23,0,177,1955.390194008438,0.6730038022813688,Flathead,33
Flathead,PREC 33,2017,polls,1961-01-20,0,86,1961.052799134075,0.3269961977186312,Flathead,33
Flathead,PREC 34,2014,absent,1955-06-22,0,668,1955.4705496604327,0.6248830682881198,Flathead,34
Flathead,PREC 34,2014,polls,1959-09-28,0.0024937655860349127,401,1959.7403650353924,0.37511693171188026,Flathead,34
Flathead,PREC 34,2016,absent,1959-02-05,0.001152073732718894,868,1959.096285291622,0.5888738127544098,Flathead,34
Flathead,PREC 34,2016,polls,1963-03-14,0.0049504950495049506,606,1963.1970823365705,0.41112618724559025,Flathead,34
Flathead,PREC 34,2017,absent,1957-12-31,0.0025575447570332483,782,1957.9983894995369,0.677056277056277,Flathead,34
Flathead,PREC 34,2017,polls,1960-10-14,0,373,1960.7857007852053,0.3229437229437229,Flathead,34
Flathead,PREC 35,2014,absent,1954-09-26,0.9713024282560706,453,1954.7360708819294,0.5444711538461539,Flathead,35
Flathead,PREC 35,2014,polls,1961-01-11,0.9577836411609498,379,1961.0300567616425,0.45552884615384615,Flathead,35
Flathead,PREC 35,2016,absent,1960-06-26,0.9761549925484352,671,1960.4837162142173,0.5161538461538462,Flathead,35
Flathead,PREC 35,2016,polls,1966-09-13,0.9682034976152624,629,1966.6990137861017,0.48384615384615387,Flathead,35
Flathead,PREC 35,2017,absent,1958-08-12,0.9701230228471002,569,1958.61064177099,0.6085561497326203,Flathead,35
Flathead,PREC 35,2017,polls,1962-07-31,0.953551912568306,366,1962.5788534688793,0.39144385026737966,Flathead,35
Flathead,PREC 36,2014,absent,1957-07-19,0,521,1957.5467622024196,0.5087890625,Flathead,36
Flathead,PREC 36,2014,polls,1960-08-02,0,503,1960.5855489921526,0.4912109375,Flathead,36
Flathead,PREC 36,2016,absent,1962-02-05,0,808,1962.0971191575009,0.5072190834902699,Flathead,36
Flathead,PREC 36,2016,polls,1965-02-02,0,785,1965.0908731041038,0.49278091650973005,Flathead,36
Flathead,PREC 36,2017,absent,1960-06-14,0,689,1960.4505830847313,0.5819256756756757,Flathead,36
Flathead,PREC 36,2017,polls,1962-02-21,0,495,1962.1421635934983,0.41807432432432434,Flathead,36
Flathead,PREC 37,2014,absent,1957-07-28,0.6144,625,1957.5713927446955,0.5863039399624765,Flathead,37
Flathead,PREC 37,2014,polls,1966-03-24,0.6530612244897959,441,1966.2269001600184,0.41369606003752346,Flathead,37
Flathead,PREC 37,2016,absent,1963-04-17,0.6544885177453027,958,1963.2912481655972,0.530454042081949,Flathead,37
Flathead,PREC 37,2016,polls,1972-09-23,0.6957547169811321,848,1972.7289398576834,0.4695459579180509,Flathead,37
Flathead,PREC 37,2017,absent,1960-10-25,0.6403061224489796,784,1960.8167979717555,0.6661002548853017,Flathead,37
Flathead,PREC 37,2017,polls,1967-05-05,0.6844783715012722,393,1967.3405088710197,0.3338997451146984,Flathead,37
Flathead,PREC 38,2014,absent,1949-08-24,0,646,1949.6467663905505,0.5535561268209083,Flathead,38
Flathead,PREC 38,2014,polls,1953-06-30,0,521,1953.4957467409197,0.4464438731790917,Flathead,38
Flathead,PREC 38,2016,absent,1954-06-27,0,943,1954.4846779795357,0.5400916380297823,Flathead,38
Flathead,PREC 38,2016,polls,1959-05-12,0,803,1959.3603538407904,0.4599083619702176,Flathead,38
Flathead,PREC 38,2017,absent,1952-03-15,0,809,1952.203313340931,0.6059925093632959,Flathead,38
Flathead,PREC 38,2017,polls,1956-04-09,0,526,1956.2714584260482,0.3940074906367041,Flathead,38
Flathead,PREC 39,2014,absent,1955-01-31,0,259,1955.0832692475403,0.5730088495575221,Flathead,39
Flathead,PREC 39,2014,polls,1958-06-15,0,193,1958.4538874289383,0.4269911504424779,Flathead,39
Flathead,PREC 39,2016,absent,1958-05-09,0,364,1958.3524606810029,0.5229885057471264,Flathead,39
Flathead,PREC 39,2016,polls,1963-06-18,0,332,1963.4617071984035,0.47701149425287354,Flathead,39
Flathead,PREC 39,2017,absent,1957-07-23,0,330,1957.5574554580714,0.6010928961748634,Flathead,39
Flathead,PREC 39,2017,polls,1961-04-05,0,219,1961.260642769855,0.3989071038251366,Flathead,39
Flathead,PREC 41,2014,absent,1947-08-28,0.7503429355281207,729,1947.6538797016906,0.680672268907563,Flathead,41
Flathead,PREC 41,2014,polls,1959-05-18,0.6812865497076024,342,1959.3754498040676,0.31932773109243695,Flathead,41
Flathead,PREC 41,2016,absent,1953-02-12,0.7489669421487604,968,1953.1162398674066,0.6355876559422193,Flathead,41
Flathead,PREC 41,2016,polls,1966-04-23,0.6846846846846847,555,1966.3089726276585,0.36441234405778067,Flathead,41
Flathead,PREC 41,2017,absent,1951-07-03,0.7490952955367913,829,1951.5026012059423,0.7140396210163652,Flathead,41
Flathead,PREC 41,2017,polls,1960-10-10,0.6566265060240963,332,1960.77496845699,0.2859603789836348,Flathead,41
Flathead,PREC 42,2014,absent,1952-10-19,0,550,1952.8002986746312,0.5238095238095238,Flathead,42
Flathead,PREC 42,2014,polls,1958-04-15,0,500,1958.2861656399725,0.47619047619047616,Flathead,42
Flathead,PREC 42,2016,absent,1956-07-27,0,766,1956.568414995273,0.5069490403706155,Flathead,42
Flathead,PREC 42,2016,polls,1962-08-28,0,745,1962.6548902333145,0.4930509596293845,Flathead,42
Flathead,PREC 42,2017,absent,1954-11-16,0,670,1954.8758752439037,0.5882352941176471,Flathead,42
Flathead,PREC 42,2017,polls,1958-07-21,0,469,1958.5519250330922,0.4117647058823529,Flathead,42
Flathead,PREC 43,2014,absent,1956-01-11,0,583,1956.026699915352,0.5314494074749316,Flathead,43
Flathead,PREC 43,2014,polls,1960-07-26,0,514,1960.5667777254,0.46855059252506837,Flathead,43
Flathead,PREC 43,2016,absent,1959-08-28,0,853,1959.6550163572942,0.5068330362448009,Flathead,43
Flathead,PREC 43,2016,polls,1965-09-12,0,830,1965.6972101960203,0.49316696375519903,Flathead,43
Flathead,PREC 43,2017,absent,1958-05-28,0,764,1958.4028260067157,0.5978090766823161,Flathead,43
Flathead,PREC 43,2017,polls,1961-07-30,0,514,1961.5782537945067,0.40219092331768386,Flathead,43
Flathead,PREC 44,2014,absent,1956-08-07,0,520,1956.5985731585322,0.579064587973274,Flathead,44
Flathead,PREC 44,2014,polls,1961-02-22,0,378,1961.1452835450098,0.4209354120267261,Flathead,44
Flathead,PREC 44,2016,absent,1961-06-24,0,730,1961.4790470028972,0.5423476968796433,Flathead,44
Flathead,PREC 44,2016,polls,1966-02-05,0,616,1966.0966114651947,0.4576523031203566,Flathead,44
Flathead,PREC 44,2017,absent,1960-07-02,0,641,1960.5003027225812,0.6217264791464597,Flathead,44
Flathead,PREC 44,2017,polls,1963-06-22,0,390,1963.4721353481107,0.37827352085354027,Flathead,44
Flathead,PREC 45,2014,absent,1955-05-10,0.4714003944773176,507,1955.3530058982594,0.6007109004739336,Flathead,45
Flathead,PREC 45,2014,polls,1959-03-26,0.4124629080118694,337,1959.2293762452855,0.39928909952606634,Flathead,45
Flathead,PREC 45,2016,absent,1959-05-05,0.469760900140647,711,1959.3405418518614,0.5647339158061954,Flathead,45
Flathead,PREC 45,2016,polls,1964-07-19,0.4489051094890511,548,1964.5480997417028,0.4352660841938046,Flathead,45
Flathead,PREC 45,2017,absent,1958-03-27,0.4702194357366771,638,1958.233747229428,0.6557040082219938,Flathead,45
Flathead,PREC 45,2017,polls,1961-10-24,0.42388059701492536,335,1961.8130906044726,0.3442959917780062,Flathead,45
Flathead,PREC 47,2014,absent,1960-02-11,1,397,1960.1131380631948,0.5795620437956205,Flathead,47
Flathead,PREC 47,2014,polls,1964-04-25,0.9861111111111112,288,1964.3144155449083,0.42043795620437957,Flathead,47
Flathead,PREC 47,2016,absent,1964-12-18,1,618,1964.9646228034617,0.5322997416020672,Flathead,47
Flathead,PREC 47,2016,polls,1971-02-26,0.990791896869245,543,1971.1547074772823,0.46770025839793283,Flathead,47
Flathead,PREC 47,2017,absent,1964-01-17,1,535,1964.043322010913,0.598434004474273,Flathead,47
Flathead,PREC 47,2017,polls,1969-05-10,0.9916434540389972,359,1969.353897719538,0.4015659955257271,Flathead,47
Flathead,PREC 48,2014,absent,1954-06-19,0.23384615384615384,325,1954.463219080714,0.5877034358047016,Flathead,48
Flathead,PREC 48,2014,polls,1959-06-08,0.2236842105263158,228,1959.4328566110692,0.41229656419529837,Flathead,48
Flathead,PREC 48,2016,absent,1957-12-07,0.2888402625820569,457,1957.934285590188,0.5446960667461264,Flathead,48
Flathead,PREC 48,2016,polls,1964-08-21,0.24345549738219896,382,1964.6392594902006,0.45530393325387364,Flathead,48
Flathead,PREC 48,2017,absent,1957-02-03,0.2658536585365854,410,1957.0928431912655,0.6202723146747352,Flathead,48
Flathead,PREC 48,2017,polls,1961-08-24,0.22310756972111553,251,1961.6448974805774,0.37972768532526474,Flathead,48
Flathead,PREC 49,2014,absent,1954-11-27,0.3092269326683292,401,1954.9053751657816,0.572039942938659,Flathead,49
Flathead,PREC 49,2014,polls,1958-07-28,0.33,300,1958.5706593657312,0.42796005706134094,Flathead,49
Flathead,PREC 49,2016,absent,1959-07-15,0.29743589743589743,585,1959.5340996975494,0.5712890625,Flathead,49
Flathead,PREC 49,2016,polls,1963-08-26,0.2984054669703872,439,1963.649271335669,0.4287109375,Flathead,49
Flathead,PREC 49,2017,absent,1958-11-04,0.29922779922779924,518,1958.8430413399612,0.6211031175059952,Flathead,49
Flathead,PREC 49,2017,polls,1961-11-09,0.3037974683544304,316,1961.8570079449657,0.37889688249400477,Flathead,49
Flathead,PREC 50,2014,absent,1957-08-09,0,346,1957.605662445154,0.5414710485133021,Flathead,50
Flathead,PREC 50,2014,polls,1962-04-17,0,293,1962.2908008680763,0.458528951486698,Flathead,50
Flathead,PREC 50,2016,absent,1963-02-04,0,586,1963.0936872916536,0.5307971014492754,Flathead,50
Flathead,PREC 50,2016,polls,1967-07-11,0,518,1967.5238623780717,0.4692028985507246,Flathead,50
Flathead,PREC 50,2017,absent,1961-03-17,0,465,1961.2065472904844,0.6413793103448275,Flathead,50
Flathead,PREC 50,2017,polls,1963-01-14,0,260,1963.0374769651978,0.3586206896551724,Flathead,50
Flathead,PREC 89,2014,absent,1955-12-12,0,158,1955.9456588603264,0.49842271293375395,Flathead,89
Flathead,PREC 89,2014,polls,1960-01-07,0,159,1960.0157986043848,0.501577287066246,Flathead,89
Flathead,PREC 89,2016,absent,1959-10-06,0,255,1959.7605454228235,0.5,Flathead,89
Flathead,PREC 89,2016,polls,1964-10-10,0,255,1964.7739904175223,0.5,Flathead,89
