"UPC_i","DESCRIP_i","UPC_j","DESCRIP_j","weeks_together"
3000002190,"KRETSCHMER WHEAT GER",3000004170,"QUAKER Q/W HOMINY GR",297
1313000612,"CREAM OF WHEAT QUICK",1313000622,"CREAM OF WHEAT INSTA",296
1313000612,"CREAM OF WHEAT QUICK",3000001460,"QUAKER OAT VARIETY",296
1313000622,"CREAM OF WHEAT INSTA",3000001210,"QUAKER INSTANT OATME",296
1800063070,"PILS FARINA",3000001380,"QUAKER INST OATML AP",296
1800063070,"PILS FARINA",3000002190,"KRETSCHMER WHEAT GER",296
3000001040,"QUAKER OLD FASHIONED",3000001460,"QUAKER OAT VARIETY",296
3000001180,"QUICK QUAKER OATS",3000001380,"QUAKER INST OATML AP",296
3000001200,"QUICK QUAKER OATS",3000001460,"QUAKER OAT VARIETY",296
3000001240,"QUAKER INST OATML RS",3000001380,"QUAKER INST OATML AP",296
3000001240,"QUAKER INST OATML RS",3000004170,"QUAKER Q/W HOMINY GR",296
3000001880,"QUAKER FRUIT & CREAM",3000004170,"QUAKER Q/W HOMINY GR",296
1313000622,"CREAM OF WHEAT INSTA",3000001380,"QUAKER INST OATML AP",295
1313000622,"CREAM OF WHEAT INSTA",3000004170,"QUAKER Q/W HOMINY GR",295
1313006025,"MIX N EAT CREAM OF W",3000001460,"QUAKER OAT VARIETY",295
1800063070,"PILS FARINA",3000001240,"QUAKER INST OATML RS",295
1800063070,"PILS FARINA",3000001880,"QUAKER FRUIT & CREAM",295
3000001020,"QUAKER OATS REGULAR",3000001460,"QUAKER OAT VARIETY",295
3000001040,"QUAKER OLD FASHIONED",3000001190,"QUAKER INST OATML MP",295
3000001180,"QUICK QUAKER OATS",3000001240,"QUAKER INST OATML RS",295
3000001180,"QUICK QUAKER OATS",3000001880,"QUAKER FRUIT & CREAM",295
3000001180,"QUICK QUAKER OATS",3000002190,"KRETSCHMER WHEAT GER",295
3000001190,"QUAKER INST OATML MP",3000001200,"QUICK QUAKER OATS",295
3000001380,"QUAKER INST OATML AP",3000001880,"QUAKER FRUIT & CREAM",295
3000001380,"QUAKER INST OATML AP",3000002190,"KRETSCHMER WHEAT GER",295
3000001460,"QUAKER OAT VARIETY",3000007060,"QUAKER HOT OAT BRAN",295
1313000622,"CREAM OF WHEAT INSTA",1800063070,"PILS FARINA",294
1313000622,"CREAM OF WHEAT INSTA",3000001180,"QUICK QUAKER OATS",294
1313006025,"MIX N EAT CREAM OF W",3000001190,"QUAKER INST OATML MP",294
3000001020,"QUAKER OATS REGULAR",3000001190,"QUAKER INST OATML MP",294
3000001190,"QUAKER INST OATML MP",3000007060,"QUAKER HOT OAT BRAN",294
3000001210,"QUAKER INSTANT OATME",3000001460,"QUAKER OAT VARIETY",294
3000001240,"QUAKER INST OATML RS",3000001880,"QUAKER FRUIT & CREAM",294
3000001240,"QUAKER INST OATML RS",3000002190,"KRETSCHMER WHEAT GER",294
3000001880,"QUAKER FRUIT & CREAM",3000002190,"KRETSCHMER WHEAT GER",294
1313000612,"CREAM OF WHEAT QUICK",3000001190,"QUAKER INST OATML MP",293
1313000622,"CREAM OF WHEAT INSTA",3000001240,"QUAKER INST OATML RS",293
1313000622,"CREAM OF WHEAT INSTA",3000001880,"QUAKER FRUIT & CREAM",293
1313000622,"CREAM OF WHEAT INSTA",3000002190,"KRETSCHMER WHEAT GER",293
3000001190,"QUAKER INST OATML MP",3000001210,"QUAKER INSTANT OATME",293
3000001460,"QUAKER OAT VARIETY",3000004170,"QUAKER Q/W HOMINY GR",293
1800063070,"PILS FARINA",3000001460,"QUAKER OAT VARIETY",292
3000001180,"QUICK QUAKER OATS",3000001460,"QUAKER OAT VARIETY",292
3000001190,"QUAKER INST OATML MP",3000004170,"QUAKER Q/W HOMINY GR",292
3000001380,"QUAKER INST OATML AP",3000001460,"QUAKER OAT VARIETY",292
1800063070,"PILS FARINA",3000001190,"QUAKER INST OATML MP",291
3000001180,"QUICK QUAKER OATS",3000001190,"QUAKER INST OATML MP",291
3000001190,"QUAKER INST OATML MP",3000001380,"QUAKER INST OATML AP",291
3000001190,"QUAKER INST OATML MP",3000001880,"QUAKER FRUIT & CREAM",291
3000001190,"QUAKER INST OATML MP",3000002190,"KRETSCHMER WHEAT GER",291
3000001240,"QUAKER INST OATML RS",3000001460,"QUAKER OAT VARIETY",291
3000001460,"QUAKER OAT VARIETY",3000001880,"QUAKER FRUIT & CREAM",291
3000001460,"QUAKER OAT VARIETY",3000002190,"KRETSCHMER WHEAT GER",291
1313000622,"CREAM OF WHEAT INSTA",3000001460,"QUAKER OAT VARIETY",290
3000001190,"QUAKER INST OATML MP",3000001240,"QUAKER INST OATML RS",290
1313000622,"CREAM OF WHEAT INSTA",3000001190,"QUAKER INST OATML MP",289
1313006025,"MIX N EAT CREAM OF W",3000001800,"QUAKER INST OATML PE",288
3000001040,"QUAKER OLD FASHIONED",3000001800,"QUAKER INST OATML PE",288
3000001200,"QUICK QUAKER OATS",3000001800,"QUAKER INST OATML PE",288
3000001020,"QUAKER OATS REGULAR",3000001800,"QUAKER INST OATML PE",287
3000001190,"QUAKER INST OATML MP",3000001460,"QUAKER OAT VARIETY",287
3000001800,"QUAKER INST OATML PE",3000007060,"QUAKER HOT OAT BRAN",287
1313000612,"CREAM OF WHEAT QUICK",3000001800,"QUAKER INST OATML PE",286
1800063070,"PILS FARINA",3000001800,"QUAKER INST OATML PE",286
3000001180,"QUICK QUAKER OATS",3000001800,"QUAKER INST OATML PE",286
3000001210,"QUAKER INSTANT OATME",3000001800,"QUAKER INST OATML PE",286
3000001800,"QUAKER INST OATML PE",3000004170,"QUAKER Q/W HOMINY GR",285
3000001040,"QUAKER OLD FASHIONED",4240000105,"QUICK MALT O MEAL",284
3000001200,"QUICK QUAKER OATS",4240000105,"QUICK MALT O MEAL",284
3000001210,"QUAKER INSTANT OATME",4240000105,"QUICK MALT O MEAL",284
3000001380,"QUAKER INST OATML AP",3000001800,"QUAKER INST OATML PE",284
3000001800,"QUAKER INST OATML PE",3000001880,"QUAKER FRUIT & CREAM",284
1313000622,"CREAM OF WHEAT INSTA",3000001800,"QUAKER INST OATML PE",283
1313006025,"MIX N EAT CREAM OF W",4240000105,"QUICK MALT O MEAL",283
3000001020,"QUAKER OATS REGULAR",4240000105,"QUICK MALT O MEAL",283
3000001240,"QUAKER INST OATML RS",3000001800,"QUAKER INST OATML PE",283
3000001800,"QUAKER INST OATML PE",3000002190,"KRETSCHMER WHEAT GER",283
3000007060,"QUAKER HOT OAT BRAN",4240000105,"QUICK MALT O MEAL",283
1313000612,"CREAM OF WHEAT QUICK",4240000105,"QUICK MALT O MEAL",282
3000004170,"QUAKER Q/W HOMINY GR",4240000105,"QUICK MALT O MEAL",282
1800063070,"PILS FARINA",4240000105,"QUICK MALT O MEAL",280
3000001180,"QUICK QUAKER OATS",4240000105,"QUICK MALT O MEAL",280
3000001190,"QUAKER INST OATML MP",3000001800,"QUAKER INST OATML PE",280
3000001240,"QUAKER INST OATML RS",4240000105,"QUICK MALT O MEAL",280
3000001380,"QUAKER INST OATML AP",4240000105,"QUICK MALT O MEAL",280
3000001460,"QUAKER OAT VARIETY",3000001800,"QUAKER INST OATML PE",280
3000001880,"QUAKER FRUIT & CREAM",4240000105,"QUICK MALT O MEAL",280
3000002190,"KRETSCHMER WHEAT GER",4240000105,"QUICK MALT O MEAL",280
1313006057,"INST CRM OF WHT-VARI",3000001020,"QUAKER OATS REGULAR",279
1313006057,"INST CRM OF WHT-VARI",3000001040,"QUAKER OLD FASHIONED",279
1313006057,"INST CRM OF WHT-VARI",3000001200,"QUICK QUAKER OATS",279
1313006057,"INST CRM OF WHT-VARI",3000007060,"QUAKER HOT OAT BRAN",279
3000001460,"QUAKER OAT VARIETY",4240000105,"QUICK MALT O MEAL",279
1313000612,"CREAM OF WHEAT QUICK",3000001340,"QUAKER OATMEAL CINNA",278
1313000622,"CREAM OF WHEAT INSTA",4240000105,"QUICK MALT O MEAL",278
1313006025,"MIX N EAT CREAM OF W",1313006057,"INST CRM OF WHT-VARI",278
3000001040,"QUAKER OLD FASHIONED",3000001340,"QUAKER OATMEAL CINNA",278
3000001200,"QUICK QUAKER OATS",3000001340,"QUAKER OATMEAL CINNA",278
1313000612,"CREAM OF WHEAT QUICK",1313006057,"INST CRM OF WHT-VARI",277
1313006025,"MIX N EAT CREAM OF W",3000001340,"QUAKER OATMEAL CINNA",277
1313006057,"INST CRM OF WHT-VARI",3000001180,"QUICK QUAKER OATS",277
1313006057,"INST CRM OF WHT-VARI",3000001210,"QUAKER INSTANT OATME",277
3000001020,"QUAKER OATS REGULAR",3000001340,"QUAKER OATMEAL CINNA",277
3000001340,"QUAKER OATMEAL CINNA",3000007060,"QUAKER HOT OAT BRAN",277
1313006057,"INST CRM OF WHT-VARI",3000001380,"QUAKER INST OATML AP",276
1313006057,"INST CRM OF WHT-VARI",3000004170,"QUAKER Q/W HOMINY GR",276
3000001210,"QUAKER INSTANT OATME",3000001340,"QUAKER OATMEAL CINNA",276
1313006057,"INST CRM OF WHT-VARI",1800063070,"PILS FARINA",275
1313006057,"INST CRM OF WHT-VARI",3000001240,"QUAKER INST OATML RS",275
3000001190,"QUAKER INST OATML MP",4240000105,"QUICK MALT O MEAL",275
3000001240,"QUAKER INST OATML RS",3000001340,"QUAKER OATMEAL CINNA",275
3000001340,"QUAKER OATMEAL CINNA",3000004170,"QUAKER Q/W HOMINY GR",275
1313000622,"CREAM OF WHEAT INSTA",1313006057,"INST CRM OF WHT-VARI",274
1313006057,"INST CRM OF WHT-VARI",3000001880,"QUAKER FRUIT & CREAM",274
1313006057,"INST CRM OF WHT-VARI",3000002190,"KRETSCHMER WHEAT GER",274
1800063070,"PILS FARINA",3000001340,"QUAKER OATMEAL CINNA",274
3000001180,"QUICK QUAKER OATS",3000001340,"QUAKER OATMEAL CINNA",274
3000001340,"QUAKER OATMEAL CINNA",3000001380,"QUAKER INST OATML AP",274
1313000622,"CREAM OF WHEAT INSTA",3000001340,"QUAKER OATMEAL CINNA",273
3000001340,"QUAKER OATMEAL CINNA",3000001880,"QUAKER FRUIT & CREAM",273
3000001340,"QUAKER OATMEAL CINNA",3000002190,"KRETSCHMER WHEAT GER",273
3000001340,"QUAKER OATMEAL CINNA",3000001460,"QUAKER OAT VARIETY",272
1313006057,"INST CRM OF WHT-VARI",3000001460,"QUAKER OAT VARIETY",271
1313006057,"INST CRM OF WHT-VARI",3000001190,"QUAKER INST OATML MP",270
3000001190,"QUAKER INST OATML MP",3000001340,"QUAKER OATMEAL CINNA",270
3000001800,"QUAKER INST OATML PE",4240000105,"QUICK MALT O MEAL",268
3000001340,"QUAKER OATMEAL CINNA",3000001800,"QUAKER INST OATML PE",267
1313006057,"INST CRM OF WHT-VARI",3000001800,"QUAKER INST OATML PE",265
3000001040,"QUAKER OLD FASHIONED",3000004760,"QUAKER INSTANT GRITS",265
3000001200,"QUICK QUAKER OATS",3000004760,"QUAKER INSTANT GRITS",265
1313006025,"MIX N EAT CREAM OF W",3000004760,"QUAKER INSTANT GRITS",264
3000001020,"QUAKER OATS REGULAR",3000004760,"QUAKER INSTANT GRITS",264
3000004760,"QUAKER INSTANT GRITS",3000007060,"QUAKER HOT OAT BRAN",264
1313000612,"CREAM OF WHEAT QUICK",3000004760,"QUAKER INSTANT GRITS",263
1313000622,"CREAM OF WHEAT INSTA",3000004760,"QUAKER INSTANT GRITS",263
1800063070,"PILS FARINA",3000004760,"QUAKER INSTANT GRITS",263
3000001180,"QUICK QUAKER OATS",3000004760,"QUAKER INSTANT GRITS",263
3000001210,"QUAKER INSTANT OATME",3000004760,"QUAKER INSTANT GRITS",263
1313000612,"CREAM OF WHEAT QUICK",3000001760,"QUAKER VRTY INST OAT",262
1313000612,"CREAM OF WHEAT QUICK",3000001820,"QUAKER INSTANT STRAW",262
1313000698,"NABISCO CREAM OF RIC",3000001040,"QUAKER OLD FASHIONED",262
1313000698,"NABISCO CREAM OF RIC",3000001200,"QUICK QUAKER OATS",262
3000001040,"QUAKER OLD FASHIONED",3000001760,"QUAKER VRTY INST OAT",262
3000001040,"QUAKER OLD FASHIONED",3000001820,"QUAKER INSTANT STRAW",262
3000001180,"QUICK QUAKER OATS",3000001820,"QUAKER INSTANT STRAW",262
3000001200,"QUICK QUAKER OATS",3000001760,"QUAKER VRTY INST OAT",262
3000001200,"QUICK QUAKER OATS",3000001820,"QUAKER INSTANT STRAW",262
3000001820,"QUAKER INSTANT STRAW",3000007060,"QUAKER HOT OAT BRAN",262
3000004170,"QUAKER Q/W HOMINY GR",3000004760,"QUAKER INSTANT GRITS",262
1313000602,"NABISCO CREAM OF WHT",1313000612,"CREAM OF WHEAT QUICK",261
1313000602,"NABISCO CREAM OF WHT",3000001040,"QUAKER OLD FASHIONED",261
1313000602,"NABISCO CREAM OF WHT",3000001200,"QUICK QUAKER OATS",261
1313000602,"NABISCO CREAM OF WHT",3000001210,"QUAKER INSTANT OATME",261
1313000698,"NABISCO CREAM OF RIC",1313006025,"MIX N EAT CREAM OF W",261
1313000698,"NABISCO CREAM OF RIC",3000001020,"QUAKER OATS REGULAR",261
1313000698,"NABISCO CREAM OF RIC",3000001210,"QUAKER INSTANT OATME",261
1313000698,"NABISCO CREAM OF RIC",3000001240,"QUAKER INST OATML RS",261
1313000698,"NABISCO CREAM OF RIC",3000007060,"QUAKER HOT OAT BRAN",261
1313006025,"MIX N EAT CREAM OF W",3000001760,"QUAKER VRTY INST OAT",261
1313006025,"MIX N EAT CREAM OF W",3000001820,"QUAKER INSTANT STRAW",261
1313006057,"INST CRM OF WHT-VARI",4240000105,"QUICK MALT O MEAL",261
3000001020,"QUAKER OATS REGULAR",3000001760,"QUAKER VRTY INST OAT",261
3000001020,"QUAKER OATS REGULAR",3000001820,"QUAKER INSTANT STRAW",261
3000001380,"QUAKER INST OATML AP",3000004760,"QUAKER INSTANT GRITS",261
3000001760,"QUAKER VRTY INST OAT",3000007060,"QUAKER HOT OAT BRAN",261
1313000602,"NABISCO CREAM OF WHT",1313006025,"MIX N EAT CREAM OF W",260
1313000602,"NABISCO CREAM OF WHT",3000001020,"QUAKER OATS REGULAR",260
1313000602,"NABISCO CREAM OF WHT",3000007060,"QUAKER HOT OAT BRAN",260
1313000612,"CREAM OF WHEAT QUICK",1313000698,"NABISCO CREAM OF RIC",260
1800063070,"PILS FARINA",3000001760,"QUAKER VRTY INST OAT",260
1800063070,"PILS FARINA",3000001820,"QUAKER INSTANT STRAW",260
3000001210,"QUAKER INSTANT OATME",3000001760,"QUAKER VRTY INST OAT",260
3000001210,"QUAKER INSTANT OATME",3000001820,"QUAKER INSTANT STRAW",260
3000001240,"QUAKER INST OATML RS",3000004760,"QUAKER INSTANT GRITS",260
3000001340,"QUAKER OATMEAL CINNA",4240000105,"QUICK MALT O MEAL",260
3000001880,"QUAKER FRUIT & CREAM",3000004760,"QUAKER INSTANT GRITS",260
3000002190,"KRETSCHMER WHEAT GER",3000004760,"QUAKER INSTANT GRITS",260
1313000602,"NABISCO CREAM OF WHT",3000001880,"QUAKER FRUIT & CREAM",259
1313000698,"NABISCO CREAM OF RIC",3000001880,"QUAKER FRUIT & CREAM",259
1313000698,"NABISCO CREAM OF RIC",3000004170,"QUAKER Q/W HOMINY GR",259
3000001240,"QUAKER INST OATML RS",3000001760,"QUAKER VRTY INST OAT",259
3000001380,"QUAKER INST OATML AP",3000001760,"QUAKER VRTY INST OAT",259
3000001760,"QUAKER VRTY INST OAT",3000001880,"QUAKER FRUIT & CREAM",259
3000001760,"QUAKER VRTY INST OAT",3000002190,"KRETSCHMER WHEAT GER",259
3000001760,"QUAKER VRTY INST OAT",3000004170,"QUAKER Q/W HOMINY GR",259
3000001820,"QUAKER INSTANT STRAW",3000004170,"QUAKER Q/W HOMINY GR",259
1313000602,"NABISCO CREAM OF WHT",3000001380,"QUAKER INST OATML AP",258
1313000602,"NABISCO CREAM OF WHT",3000004170,"QUAKER Q/W HOMINY GR",258
1313000622,"CREAM OF WHEAT INSTA",1313000698,"NABISCO CREAM OF RIC",258
1313000698,"NABISCO CREAM OF RIC",1800063070,"PILS FARINA",258
1313000698,"NABISCO CREAM OF RIC",3000001180,"QUICK QUAKER OATS",258
1313000698,"NABISCO CREAM OF RIC",3000001380,"QUAKER INST OATML AP",258
3000001180,"QUICK QUAKER OATS",3000001760,"QUAKER VRTY INST OAT",258
3000001190,"QUAKER INST OATML MP",3000001760,"QUAKER VRTY INST OAT",258
3000001380,"QUAKER INST OATML AP",3000001820,"QUAKER INSTANT STRAW",258
3000001460,"QUAKER OAT VARIETY",3000004760,"QUAKER INSTANT GRITS",258
1313000602,"NABISCO CREAM OF WHT",1800063070,"PILS FARINA",257
1313000602,"NABISCO CREAM OF WHT",3000001180,"QUICK QUAKER OATS",257
1313000602,"NABISCO CREAM OF WHT",3000001240,"QUAKER INST OATML RS",257
1313000602,"NABISCO CREAM OF WHT",3000002190,"KRETSCHMER WHEAT GER",257
1313000622,"CREAM OF WHEAT INSTA",3000001760,"QUAKER VRTY INST OAT",257
1313000622,"CREAM OF WHEAT INSTA",3000001820,"QUAKER INSTANT STRAW",257
1313000698,"NABISCO CREAM OF RIC",3000002190,"KRETSCHMER WHEAT GER",257
3000001240,"QUAKER INST OATML RS",3000001820,"QUAKER INSTANT STRAW",257
3000001460,"QUAKER OAT VARIETY",3000001820,"QUAKER INSTANT STRAW",257
3000001820,"QUAKER INSTANT STRAW",3000001880,"QUAKER FRUIT & CREAM",257
3000001820,"QUAKER INSTANT STRAW",3000002190,"KRETSCHMER WHEAT GER",257
3000001190,"QUAKER INST OATML MP",3000004760,"QUAKER INSTANT GRITS",256
3000001460,"QUAKER OAT VARIETY",3000001760,"QUAKER VRTY INST OAT",256
1313000602,"NABISCO CREAM OF WHT",1313000622,"CREAM OF WHEAT INSTA",255
1313000602,"NABISCO CREAM OF WHT",3000001460,"QUAKER OAT VARIETY",255
1313000698,"NABISCO CREAM OF RIC",3000001460,"QUAKER OAT VARIETY",255
1313000698,"NABISCO CREAM OF RIC",3000001190,"QUAKER INST OATML MP",254
3000001800,"QUAKER INST OATML PE",3000004760,"QUAKER INSTANT GRITS",254
1313000602,"NABISCO CREAM OF WHT",3000001190,"QUAKER INST OATML MP",253
1313006057,"INST CRM OF WHT-VARI",3000001340,"QUAKER OATMEAL CINNA",253
3000001190,"QUAKER INST OATML MP",3000001820,"QUAKER INSTANT STRAW",253
1313000602,"NABISCO CREAM OF WHT",3000001800,"QUAKER INST OATML PE",252
1313000698,"NABISCO CREAM OF RIC",3000001800,"QUAKER INST OATML PE",252
3000001800,"QUAKER INST OATML PE",3000001820,"QUAKER INSTANT STRAW",251
3000001760,"QUAKER VRTY INST OAT",3000001800,"QUAKER INST OATML PE",250
1313000602,"NABISCO CREAM OF WHT",4240000105,"QUICK MALT O MEAL",248
1313006057,"INST CRM OF WHT-VARI",3000001820,"QUAKER INSTANT STRAW",248
1313000698,"NABISCO CREAM OF RIC",4240000105,"QUICK MALT O MEAL",247
1313006057,"INST CRM OF WHT-VARI",3000004760,"QUAKER INSTANT GRITS",247
3000001820,"QUAKER INSTANT STRAW",4240000105,"QUICK MALT O MEAL",247
3000001340,"QUAKER OATMEAL CINNA",3000001820,"QUAKER INSTANT STRAW",246
3000004760,"QUAKER INSTANT GRITS",4240000105,"QUICK MALT O MEAL",246
3000001760,"QUAKER VRTY INST OAT",4240000105,"QUICK MALT O MEAL",245
3000001340,"QUAKER OATMEAL CINNA",3000001760,"QUAKER VRTY INST OAT",244
1313000602,"NABISCO CREAM OF WHT",3000001340,"QUAKER OATMEAL CINNA",243
1313000602,"NABISCO CREAM OF WHT",1313006057,"INST CRM OF WHT-VARI",242
1313000698,"NABISCO CREAM OF RIC",1313006057,"INST CRM OF WHT-VARI",242
1313000698,"NABISCO CREAM OF RIC",3000001340,"QUAKER OATMEAL CINNA",242
1313006057,"INST CRM OF WHT-VARI",3000001760,"QUAKER VRTY INST OAT",241
3000001340,"QUAKER OATMEAL CINNA",3000004760,"QUAKER INSTANT GRITS",241
3000001820,"QUAKER INSTANT STRAW",3000004760,"QUAKER INSTANT GRITS",241
3000001020,"QUAKER OATS REGULAR",3000002350,"KRETCHMER HONEY WHT",238
3000001040,"QUAKER OLD FASHIONED",3000002350,"KRETCHMER HONEY WHT",238
3000001200,"QUICK QUAKER OATS",3000002350,"KRETCHMER HONEY WHT",238
3000001210,"QUAKER INSTANT OATME",3000002350,"KRETCHMER HONEY WHT",238
1313006025,"MIX N EAT CREAM OF W",3000002350,"KRETCHMER HONEY WHT",237
1800063070,"PILS FARINA",3000002350,"KRETCHMER HONEY WHT",237
3000002350,"KRETCHMER HONEY WHT",3000007060,"QUAKER HOT OAT BRAN",237
1313000612,"CREAM OF WHEAT QUICK",3000002350,"KRETCHMER HONEY WHT",236
3000001180,"QUICK QUAKER OATS",3000002350,"KRETCHMER HONEY WHT",236
