"category","STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
"Analgesics",134,326,87,538,180,121,122,80,450,131,133
"Analgesics",135,52,11,277,12,206,206,8,264,206,206
"Analgesics",136,319,82,526,167,119,120,78,440,126,128
"Analgesics",137,332,85,505,186,97,98,79,422,105,107
"Analgesics",139,238,69,484,141,119,143,64,414,122,149
"Analgesics",140,38,9,251,9,82,82,9,241,82,82
"Analgesics",141,34,10,249,10,209,209,8,239,209,209
"Analgesics",142,38,11,252,11,88,88,8,240,87,87
"Analgesics",143,48,12,270,12,200,200,8,257,199,199
"Analgesics",144,48,12,260,13,196,196,11,248,194,194
"Analgesics",146,28,8,246,8,175,175,7,241,175,175
"BathSoap",2,265,25,46,26,7,8,21,37,9,10
"BathSoap",5,265,29,69,41,10,12,27,60,10,12
"BathSoap",8,265,42,192,55,10,10,38,172,11,11
"BathSoap",9,265,35,77,45,10,10,30,63,10,10
"BathSoap",12,265,36,70,45,9,9,29,56,10,10
"BathSoap",14,265,32,60,37,11,11,27,48,11,11
"BathSoap",18,265,30,72,41,10,10,26,57,11,11
"BathSoap",21,265,33,69,43,8,8,27,54,9,9
"BathSoap",28,265,22,51,25,7,8,20,45,9,10
"BathSoap",32,265,25,63,31,6,6,18,53,7,7
"BathSoap",33,265,22,26,20,0,0,21,24,0,0
"BathSoap",40,265,35,57,39,7,8,28,42,7,8
"BathSoap",44,265,30,59,34,8,9,24,48,9,10
"BathSoap",45,237,14,33,16,13,13,14,32,13,13
"BathSoap",47,265,30,64,41,7,8,24,49,9,10
"BathSoap",48,265,21,47,26,11,11,18,44,11,11
"BathSoap",49,237,15,39,15,15,15,13,35,15,15
"BathSoap",50,145,8,28,8,9,13,8,26,9,13
"BathSoap",51,265,35,72,41,9,9,28,60,10,10
"BathSoap",52,265,31,62,34,9,9,24,50,10,10
"BathSoap",53,265,25,54,34,10,10,21,47,10,10
"BathSoap",54,265,32,51,32,9,10,28,40,9,10
"BathSoap",56,265,24,56,29,8,8,21,47,10,10
"BathSoap",59,265,34,60,38,7,7,30,51,7,7
"BathSoap",62,265,31,79,39,8,8,25,68,9,9
"BathSoap",64,237,14,37,17,12,12,12,34,12,12
"BathSoap",67,265,28,63,33,10,10,23,51,10,10
"BathSoap",68,265,28,55,34,9,9,24,43,9,9
"BathSoap",70,265,47,370,64,15,16,45,320,16,17
"BathSoap",71,265,62,429,127,36,36,60,370,39,39
"BathSoap",72,265,35,82,43,10,10,28,73,10,10
"BathSoap",73,265,40,123,41,11,12,32,109,12,13
"BathSoap",74,265,43,93,53,9,9,39,81,11,11
"BathSoap",75,265,35,66,38,10,11,29,54,10,11
"BathSoap",76,265,38,70,45,9,10,32,57,9,10
"BathSoap",77,265,35,89,49,2,2,34,78,2,2
"BathSoap",78,265,37,97,53,9,10,35,85,9,10
"BathSoap",80,265,37,77,45,10,10,30,61,10,10
"BathSoap",81,265,36,100,44,10,10,31,84,10,10
"BathSoap",83,265,33,77,44,9,9,27,63,11,11
"BathSoap",84,265,41,98,57,9,10,38,83,9,10
"BathSoap",86,265,35,80,43,9,9,30,66,10,10
"BathSoap",88,265,28,58,36,6,7,22,47,8,9
"BathSoap",89,265,37,72,41,8,9,35,59,8,10
"BathSoap",90,265,28,58,34,10,10,24,53,10,10
"BathSoap",91,265,30,66,36,10,10,24,55,10,10
"BathSoap",92,265,23,55,28,7,8,21,48,7,8
"BathSoap",93,265,32,64,41,9,9,25,51,10,10
"BathSoap",94,265,31,59,36,9,9,28,47,9,9
"BathSoap",95,265,30,58,35,1,10,26,48,1,10
"BathSoap",97,183,6,30,7,15,15,6,30,15,15
"BathSoap",98,265,64,453,122,38,39,62,385,42,43
"BathSoap",100,265,65,458,116,34,34,62,400,38,38
"BathSoap",101,265,59,459,106,37,37,58,395,41,41
"BathSoap",102,265,63,459,111,35,35,60,390,39,39
"BathSoap",103,265,60,427,116,32,33,58,376,36,38
"BathSoap",104,265,39,94,51,8,9,33,76,9,11
"BathSoap",105,265,59,386,118,34,34,58,340,37,38
"BathSoap",106,265,40,82,46,10,11,35,63,10,11
"BathSoap",107,265,38,105,55,12,13,34,86,12,13
"BathSoap",109,265,31,77,40,11,11,26,65,11,11
"BathSoap",110,265,34,66,39,10,11,28,54,10,11
"BathSoap",111,265,29,60,34,10,10,24,47,11,11
"BathSoap",112,265,58,454,103,36,36,56,390,39,39
"BathSoap",113,265,28,64,33,8,10,26,55,9,11
"BathSoap",114,265,62,446,125,34,36,59,384,37,39
"BathSoap",115,265,65,468,121,37,38,62,396,40,41
"BathSoap",116,265,38,81,46,10,10,29,64,12,12
"BathSoap",117,265,22,46,28,7,8,18,40,8,9
"BathSoap",118,237,13,32,18,11,12,13,32,11,12
"BathSoap",119,265,27,54,32,7,7,24,46,9,9
"BathSoap",121,265,60,496,110,35,35,58,425,40,40
"BathSoap",122,265,59,488,117,34,34,57,419,38,38
"BathSoap",123,265,32,72,41,11,12,28,56,11,12
"BathSoap",124,265,37,77,49,8,11,30,59,9,12
"BathSoap",126,265,58,473,111,36,36,56,407,40,40
"BathSoap",128,265,61,457,113,36,36,59,392,39,40
"BathSoap",129,265,59,469,105,37,37,57,402,41,42
"BathSoap",130,265,35,62,39,13,13,31,55,13,13
"BathSoap",131,265,59,443,105,37,38,59,380,40,41
"BathSoap",132,265,64,492,123,36,36,61,423,39,40
"BathSoap",133,265,60,426,111,37,38,59,365,41,42
"BathSoap",134,265,64,424,117,36,37,61,366,38,40
"BathSoap",135,52,16,220,16,81,82,16,207,80,81
"BathSoap",136,265,57,449,108,38,38,54,389,41,42
"BathSoap",137,265,41,98,47,10,11,37,84,10,11
"BathSoap",139,265,61,446,104,35,36,61,388,39,40
"BathSoap",140,38,12,207,12,25,25,12,197,24,24
"BathSoap",141,34,12,214,11,130,130,12,206,129,129
"BathSoap",142,38,11,213,11,26,26,10,204,26,26
"BathSoap",143,48,13,235,13,131,131,13,214,129,129
"BathSoap",144,48,9,38,9,20,20,9,35,20,20
"BathSoap",146,28,11,205,11,97,99,11,197,97,99
"BathroomTissues",2,377,52,115,63,17,17,46,96,21,21
"BathroomTissues",5,380,44,102,49,17,17,42,87,21,21
"BathroomTissues",8,380,56,115,63,17,17,49,96,21,21
"BathroomTissues",9,377,51,111,60,17,17,46,92,21,21
"BathroomTissues",12,379,51,117,66,17,17,42,96,21,21
"BathroomTissues",14,379,50,112,57,17,17,42,93,21,21
"BathroomTissues",18,376,51,115,66,17,17,46,96,21,21
"BathroomTissues",21,381,51,115,64,17,17,45,98,21,21
"BathroomTissues",28,380,48,113,54,17,17,42,95,21,21
"BathroomTissues",32,374,54,114,63,17,17,48,95,21,21
"BathroomTissues",33,380,53,100,60,16,16,46,86,20,20
"BathroomTissues",40,371,49,110,59,17,17,44,92,21,21
"BathroomTissues",44,376,53,113,60,17,17,45,94,21,21
"BathroomTissues",45,355,36,78,42,22,22,35,71,22,22
"BathroomTissues",47,375,52,113,60,17,17,44,95,21,21
"BathroomTissues",48,380,48,104,58,16,17,42,87,21,21
"BathroomTissues",49,351,31,76,41,21,21,30,70,21,21
"BathroomTissues",50,265,25,65,29,21,26,23,59,21,27
"BathroomTissues",51,369,50,115,58,17,17,44,94,21,21
"BathroomTissues",52,378,53,118,62,18,18,49,99,21,21
"BathroomTissues",53,382,51,112,58,17,17,43,93,21,21
"BathroomTissues",54,381,51,116,61,17,17,45,98,21,21
"BathroomTissues",56,381,50,112,59,17,17,43,95,21,21
"BathroomTissues",59,379,53,115,63,17,17,47,98,21,21
"BathroomTissues",62,383,55,113,64,17,17,48,94,21,21
"BathroomTissues",64,341,35,77,41,22,22,33,69,22,22
"BathroomTissues",67,365,51,112,60,17,17,44,94,21,21
"BathroomTissues",68,378,48,113,59,17,17,42,96,21,21
"BathroomTissues",70,377,54,115,62,17,17,46,97,21,21
"BathroomTissues",71,379,50,118,64,17,17,45,98,21,21
"BathroomTissues",72,382,47,114,57,17,17,43,96,21,21
"BathroomTissues",73,381,52,113,63,17,17,45,94,21,21
"BathroomTissues",74,380,52,114,60,17,17,48,95,21,21
"BathroomTissues",75,378,47,114,55,17,17,42,95,21,21
"BathroomTissues",76,383,52,112,58,17,17,45,95,21,21
"BathroomTissues",77,383,50,112,64,17,17,44,93,21,21
"BathroomTissues",78,382,47,112,56,17,17,40,96,21,21
"BathroomTissues",80,382,45,113,57,17,17,41,94,21,21
"BathroomTissues",81,378,50,114,59,17,17,46,96,21,21
"BathroomTissues",83,383,52,114,62,17,17,47,96,21,21
"BathroomTissues",84,382,49,113,62,17,17,45,95,21,21
"BathroomTissues",86,380,48,113,56,17,18,42,95,21,22
"BathroomTissues",88,379,52,113,62,17,17,47,95,21,21
"BathroomTissues",89,376,49,114,62,17,17,43,95,21,21
"BathroomTissues",90,380,48,113,57,17,17,45,94,21,21
"BathroomTissues",91,381,52,117,65,17,17,47,97,21,21
"BathroomTissues",92,378,46,103,50,17,17,41,87,21,21
"BathroomTissues",93,368,50,114,61,18,18,46,94,21,21
"BathroomTissues",94,374,53,114,59,17,17,46,96,21,21
"BathroomTissues",95,377,54,113,64,0,17,48,94,1,21
"BathroomTissues",97,301,30,67,35,22,22,29,62,22,22
"BathroomTissues",98,377,52,116,60,17,17,46,97,21,21
"BathroomTissues",100,374,51,116,63,17,17,44,97,21,21
"BathroomTissues",101,383,50,113,59,17,17,47,96,21,21
"BathroomTissues",102,375,53,115,62,17,17,46,97,21,21
"BathroomTissues",103,380,53,115,59,17,17,47,97,21,21
"BathroomTissues",104,373,56,114,64,17,17,47,96,21,21
"BathroomTissues",105,379,50,116,64,17,17,42,97,21,21
"BathroomTissues",106,376,54,115,62,17,17,46,96,21,21
"BathroomTissues",107,376,50,113,61,17,17,43,94,21,21
"BathroomTissues",109,378,49,111,60,17,17,44,94,21,21
"BathroomTissues",110,376,55,116,64,17,17,48,95,21,21
"BathroomTissues",111,383,53,113,61,17,17,49,96,21,21
"BathroomTissues",112,380,50,115,65,17,17,44,98,21,21
"BathroomTissues",113,379,56,117,65,17,17,50,96,21,21
"BathroomTissues",114,379,52,115,61,17,17,45,97,21,21
"BathroomTissues",115,379,52,117,61,17,17,44,97,21,21
"BathroomTissues",116,377,50,113,59,17,17,43,95,21,21
"BathroomTissues",117,376,40,104,54,17,17,38,86,21,21
"BathroomTissues",118,351,31,77,40,23,23,31,71,23,23
"BathroomTissues",119,378,53,112,63,17,17,46,94,21,21
"BathroomTissues",121,380,47,115,59,17,17,42,96,21,21
"BathroomTissues",122,380,54,117,64,17,17,46,98,21,21
"BathroomTissues",123,375,50,114,59,16,16,44,94,20,20
"BathroomTissues",124,370,54,116,62,17,18,46,97,21,22
"BathroomTissues",126,376,51,113,62,17,17,44,96,21,21
"BathroomTissues",128,377,50,117,60,18,18,44,98,21,21
"BathroomTissues",129,357,49,113,60,17,17,42,96,21,21
"BathroomTissues",130,342,47,112,59,18,18,42,96,21,21
"BathroomTissues",131,375,52,116,64,17,17,46,98,21,21
"BathroomTissues",132,381,51,115,62,17,17,45,96,21,21
"BathroomTissues",133,311,44,103,50,18,18,39,92,22,22
"BathroomTissues",134,318,46,111,57,17,17,43,95,21,21
"BathroomTissues",135,48,7,61,7,49,49,5,58,49,49
"BathroomTissues",136,311,46,106,54,17,17,41,93,21,21
"BathroomTissues",137,324,48,111,55,17,17,43,95,21,21
"BathroomTissues",139,230,42,102,45,19,19,35,89,25,25
"BathroomTissues",140,38,6,52,6,40,40,6,51,39,39
"BathroomTissues",141,34,5,54,5,45,45,5,53,44,44
"BathroomTissues",142,38,6,54,6,43,43,6,53,42,42
"BathroomTissues",143,44,6,60,6,50,50,4,57,49,49
"BathroomTissues",144,44,7,59,7,48,49,5,56,47,47
"BathroomTissues",146,28,4,53,4,45,45,4,52,44,44
"Beer",2,144,2,2,2,0,0,2,2,0,0
"Beer",5,227,54,349,114,15,26,53,327,17,29
"Beer",8,301,72,419,141,25,26,70,376,27,28
"Beer",9,301,75,417,148,24,28,74,370,25,29
"Beer",12,300,73,402,137,19,23,68,361,20,25
"Beer",14,300,70,360,138,18,19,68,316,20,21
"Beer",18,300,72,408,133,21,22,67,364,23,24
"Beer",21,302,73,392,150,17,20,70,347,18,21
"Beer",28,78,1,1,1,1,1,1,1,1,1
"Beer",32,301,75,437,158,20,21,72,391,22,24
"Beer",33,301,72,338,141,15,15,69,305,16,16
"Beer",40,302,68,330,127,14,15,63,299,15,16
"Beer",44,74,1,1,1,1,1,1,1,1,1
"Beer",47,78,1,1,1,1,1,1,1,1,1
"Beer",48,78,1,1,1,1,1,1,1,1,1
"Beer",49,273,47,264,75,81,82,39,239,90,91
"Beer",50,180,32,181,47,36,98,28,164,38,104
"Beer",51,301,72,324,128,10,11,66,288,12,13
"Beer",52,106,26,213,38,0,0,26,207,0,0
"Beer",53,301,70,317,119,10,10,68,294,10,10
"Beer",56,302,67,321,120,12,13,64,292,12,13
"Beer",59,301,67,360,133,17,17,66,328,18,18
"Beer",62,302,76,390,139,18,19,72,349,20,21
"Beer",64,274,48,236,92,67,70,47,213,72,75
"Beer",67,301,71,341,129,15,17,65,307,17,19
"Beer",68,299,65,347,128,10,10,62,311,11,11
"Beer",70,301,65,397,121,15,15,58,367,16,16
"Beer",71,299,75,485,160,23,27,74,437,26,30
"Beer",72,301,70,350,133,18,19,68,320,18,19
"Beer",73,301,72,341,137,12,14,68,304,13,15
"Beer",74,301,71,436,149,16,17,69,387,17,18
"Beer",75,301,73,404,157,16,18,70,360,18,20
"Beer",76,302,75,410,145,20,21,70,370,21,22
"Beer",77,302,66,416,132,19,23,61,375,21,25
"Beer",78,302,67,366,138,14,15,65,327,15,16
"Beer",80,302,68,373,125,22,23,64,336,24,25
"Beer",81,301,70,351,125,15,17,68,311,17,19
"Beer",83,78,1,1,1,1,1,1,1,1,1
"Beer",84,301,70,410,152,17,19,70,360,18,20
"Beer",86,301,74,492,168,21,22,71,442,23,24
"Beer",88,62,16,70,16,24,24,15,67,24,24
"Beer",89,302,70,343,126,9,10,64,309,9,10
"Beer",90,301,65,290,122,10,11,63,264,10,11
"Beer",91,301,66,306,107,14,15,59,273,16,17
"Beer",92,74,1,1,1,1,1,1,1,1,1
"Beer",93,172,46,276,89,19,20,44,265,19,20
"Beer",94,302,71,359,122,19,20,64,322,21,22
"Beer",95,300,75,337,140,1,10,73,307,2,11
"Beer",97,220,28,224,54,121,121,28,203,129,129
"Beer",98,302,75,484,164,24,28,72,434,26,31
"Beer",100,302,76,507,161,27,32,72,452,30,35
"Beer",101,302,77,467,157,39,41,69,417,41,44
"Beer",102,302,75,499,162,25,28,74,443,26,29
"Beer",103,302,75,449,163,21,22,68,401,23,24
"Beer",104,114,27,250,49,41,42,27,236,41,42
"Beer",105,302,72,441,149,26,28,71,395,26,28
"Beer",106,302,70,376,124,15,17,67,343,16,18
"Beer",107,301,74,390,140,14,15,72,345,15,16
"Beer",109,302,74,495,135,36,38,67,430,38,40
"Beer",110,300,69,362,130,11,12,61,322,12,13
"Beer",111,302,58,244,97,10,10,55,227,10,10
"Beer",112,302,75,461,149,26,28,72,413,28,30
"Beer",113,301,69,366,128,14,15,65,334,16,17
"Beer",115,302,77,461,155,27,28,72,421,29,30
"Beer",116,300,76,435,158,19,22,74,388,21,24
"Beer",117,299,60,293,105,12,13,55,263,13,14
"Beer",118,274,47,229,80,56,57,45,208,61,61
"Beer",119,301,66,339,113,14,16,63,307,15,17
"Beer",121,302,77,476,154,32,34,71,426,35,37
"Beer",122,302,80,514,165,21,24,79,461,24,28
"Beer",123,302,68,348,138,12,12,67,319,12,12
"Beer",126,302,79,515,173,28,30,74,455,30,32
"Beer",128,302,72,491,167,32,35,68,439,35,39
"Beer",129,302,75,526,169,37,39,73,468,39,41
"Beer",130,301,71,334,126,14,15,69,307,15,16
"Beer",131,302,77,488,175,25,27,74,438,27,29
"Beer",132,302,77,477,159,29,32,73,425,32,35
"Beer",133,302,68,465,138,34,37,63,423,35,38
"Beer",134,302,73,501,169,34,38,71,454,37,41
"Beer",135,52,13,231,13,143,143,13,219,141,141
"Beer",136,302,72,454,140,26,28,68,410,29,31
"Beer",137,166,45,267,83,9,30,43,256,9,31
"Beer",139,238,68,454,140,21,30,67,415,23,32
"Beer",140,38,12,188,12,44,44,10,178,44,44
"Beer",141,34,11,170,11,130,130,11,166,128,128
"Beer",142,38,11,168,11,35,35,11,164,35,35
"Beer",143,48,13,221,13,131,131,11,211,129,129
"Beer",144,48,15,227,15,140,140,15,217,138,138
"Beer",146,28,9,167,9,130,130,9,158,126,126
"CannedSoup",2,371,57,370,112,80,81,55,348,84,85
"CannedSoup",5,374,48,356,97,81,83,46,336,85,87
"CannedSoup",8,374,56,374,109,81,82,56,354,85,86
"CannedSoup",9,371,54,378,99,84,85,52,356,88,89
"CannedSoup",12,373,55,373,107,83,84,54,350,87,88
"CannedSoup",14,373,54,373,108,79,80,53,351,83,84
"CannedSoup",18,370,53,374,108,82,83,50,350,86,87
"CannedSoup",21,375,53,378,102,83,83,52,354,87,87
"CannedSoup",28,374,55,375,108,80,82,53,352,84,86
"CannedSoup",32,368,60,379,112,81,82,60,356,85,86
"CannedSoup",33,374,56,356,108,77,77,56,334,81,81
"CannedSoup",40,365,56,371,110,80,81,55,349,84,85
"CannedSoup",44,370,52,373,109,83,83,51,350,87,87
"CannedSoup",45,355,39,327,69,126,126,37,315,130,130
"CannedSoup",47,369,56,372,104,83,83,54,350,87,87
"CannedSoup",48,374,51,356,101,82,84,50,336,86,88
"CannedSoup",49,351,41,329,70,130,130,41,317,133,133
"CannedSoup",50,261,30,301,49,121,140,30,295,125,144
"CannedSoup",51,363,53,375,111,83,83,53,353,87,87
"CannedSoup",52,372,58,386,117,82,83,57,363,86,87
"CannedSoup",53,376,51,370,108,83,83,51,349,87,87
"CannedSoup",54,375,57,374,104,82,84,57,352,86,88
"CannedSoup",56,375,57,377,120,80,81,56,355,84,85
"CannedSoup",59,373,52,379,103,82,82,52,356,86,86
"CannedSoup",62,377,50,375,105,83,84,50,354,87,88
"CannedSoup",64,341,42,325,68,123,123,42,313,128,128
"CannedSoup",67,359,61,386,112,90,90,60,363,95,95
"CannedSoup",68,372,57,373,109,82,84,57,351,86,88
"CannedSoup",70,371,50,377,101,85,86,50,354,89,90
"CannedSoup",71,373,57,374,113,80,83,55,350,84,87
"CannedSoup",72,376,55,375,113,83,84,52,353,87,88
"CannedSoup",73,375,54,381,113,80,82,52,359,84,86
"CannedSoup",74,374,55,378,113,81,82,54,355,85,86
"CannedSoup",75,372,55,375,107,84,84,55,353,88,88
"CannedSoup",76,377,56,372,109,83,83,56,350,87,87
"CannedSoup",77,377,51,378,104,81,82,48,356,85,86
"CannedSoup",78,376,54,373,105,81,81,52,351,85,85
"CannedSoup",80,376,55,381,110,81,82,54,358,85,86
"CannedSoup",81,372,50,379,105,82,83,47,357,86,87
"CannedSoup",83,377,56,380,113,81,84,53,357,85,88
"CannedSoup",84,376,55,372,106,81,82,55,350,85,86
"CannedSoup",86,374,60,380,115,82,84,60,358,85,88
"CannedSoup",88,373,57,369,108,82,83,56,347,86,87
"CannedSoup",89,370,64,378,121,81,81,64,355,85,85
"CannedSoup",90,374,54,382,111,81,81,54,359,85,85
"CannedSoup",91,375,54,371,100,82,83,52,349,86,87
"CannedSoup",92,372,48,369,97,82,83,47,349,86,87
"CannedSoup",93,362,57,374,111,82,82,56,351,86,86
"CannedSoup",94,368,56,372,105,84,84,55,350,88,88
"CannedSoup",95,371,56,367,120,0,80,55,344,0,84
"CannedSoup",97,299,30,304,46,133,133,29,297,137,137
"CannedSoup",98,371,53,381,108,84,85,52,359,88,89
"CannedSoup",100,368,54,377,110,81,82,53,354,85,86
"CannedSoup",101,377,55,374,111,81,82,55,352,85,86
"CannedSoup",102,369,53,378,106,84,84,53,356,88,88
"CannedSoup",103,374,51,382,105,84,86,51,359,88,90
"CannedSoup",104,367,53,377,97,84,84,52,355,88,88
"CannedSoup",105,373,63,376,120,82,83,63,354,86,87
"CannedSoup",106,370,54,376,108,80,81,54,354,84,85
"CannedSoup",107,370,49,375,106,80,82,47,353,84,86
"CannedSoup",109,372,54,412,116,98,99,54,389,102,103
"CannedSoup",110,370,50,374,103,82,83,49,352,86,87
"CannedSoup",111,377,57,368,112,82,83,57,346,86,87
"CannedSoup",112,374,55,399,120,83,83,54,375,87,87
"CannedSoup",113,373,53,378,112,82,84,52,356,86,88
"CannedSoup",114,373,60,383,110,83,83,58,360,87,87
"CannedSoup",115,373,58,402,112,83,83,57,379,87,87
"CannedSoup",116,371,56,373,110,82,84,53,351,86,88
"CannedSoup",117,370,51,357,93,81,82,51,337,85,86
"CannedSoup",118,351,40,338,70,124,124,39,324,128,128
"CannedSoup",119,372,56,372,108,81,82,56,349,85,86
"CannedSoup",121,374,47,383,98,84,84,46,360,88,88
"CannedSoup",122,374,54,393,103,82,83,54,370,86,87
"CannedSoup",123,369,59,375,117,82,84,58,352,86,88
"CannedSoup",124,364,59,374,111,79,80,57,351,83,84
"CannedSoup",126,370,59,378,106,82,83,58,355,86,87
"CannedSoup",128,371,58,372,110,83,84,58,350,87,88
"CannedSoup",129,351,54,375,104,83,83,53,352,87,87
"CannedSoup",130,336,58,363,116,80,80,56,341,84,84
"CannedSoup",131,369,54,380,110,83,84,54,358,87,88
"CannedSoup",132,375,48,371,101,84,84,48,349,88,88
"CannedSoup",133,305,40,325,80,88,88,39,310,94,94
"CannedSoup",134,312,59,347,97,84,86,56,327,88,90
"CannedSoup",135,44,8,143,8,120,120,8,142,119,119
"CannedSoup",136,305,45,344,79,97,97,44,327,103,103
"CannedSoup",137,318,57,354,107,82,82,57,331,86,86
"CannedSoup",139,224,40,317,67,91,95,39,302,97,100
"CannedSoup",140,32,4,126,4,108,108,4,125,107,107
"CannedSoup",141,28,3,127,3,123,123,3,126,122,122
"CannedSoup",142,32,5,123,5,108,108,5,122,107,107
"CannedSoup",143,40,7,135,7,118,118,7,134,117,117
"CannedSoup",144,40,7,136,7,120,120,7,135,119,119
"CannedSoup",146,22,2,126,2,123,123,2,125,122,122
"CannedTuna",2,367,54,224,88,17,18,44,176,21,24
"CannedTuna",5,370,57,219,90,16,18,44,171,22,24
"CannedTuna",8,370,58,232,99,18,20,51,181,20,23
"CannedTuna",9,367,55,225,91,20,20,45,175,21,23
"CannedTuna",12,369,56,233,98,18,18,47,182,21,23
"CannedTuna",14,369,50,228,88,18,20,41,176,21,25
"CannedTuna",18,366,57,227,98,14,15,49,179,20,20
"CannedTuna",21,371,63,228,101,16,17,50,180,18,20
"CannedTuna",28,370,56,226,100,18,19,46,180,20,21
"CannedTuna",32,364,51,230,92,18,20,47,179,20,23
"CannedTuna",33,370,56,228,91,17,17,46,178,20,21
"CannedTuna",40,361,57,226,92,19,21,46,178,22,25
