ee,u.id.otree,id.t,session.id,u.id,task.time,participant.ip_address,alpha,chance_ex1,chance_ex2,chance_ex3,chance_ex4,r.task,n.task,session.code,ProbC1,ProbB1,ProbA1,ProbC2,ProbB2,ProbA2
1,mp47cfbg,aone,1,1,15,10.165.82.149,63,,,,,18,14,xzgxdli3,0.55,0,0.45,0,1,0
1,mp47cfbg,aone,1,1,18,10.165.82.149,0,,,,,19,52,xzgxdli3,0.5,0,0.5,0,1,0
1,mp47cfbg,aone,1,1,21,10.165.82.149,0,,,,,20,42,xzgxdli3,0.45,0,0.55,0,1,0
1,mp47cfbg,aone,1,1,12,10.165.82.149,41,,,,,21,50,xzgxdli3,0.4,0,0.6,0,1,0
1,mp47cfbg,aone,1,1,9,10.165.82.149,30,,,,,22,60,xzgxdli3,0.35,0,0.65,0,1,0
1,mp47cfbg,aone,1,1,13,10.165.82.149,0,,,,,23,44,xzgxdli3,0.3,0,0.7,0,1,0
1,mp47cfbg,aone,1,1,16,10.165.82.149,79,,,,,24,75,xzgxdli3,0.25,0,0.75,0,1,0
1,mp47cfbg,aone,1,1,7,10.165.82.149,0,,,,,25,79,xzgxdli3,0.2,0,0.8,0,1,0
1,mp47cfbg,aone,1,1,15,10.165.82.149,39,,,,,26,30,xzgxdli3,0.15,0,0.85,0,1,0
1,mp47cfbg,aone,1,1,9,10.165.82.149,48,,,,,27,40,xzgxdli3,0.1,0,0.9,0,1,0
1,mp47cfbg,aone,1,1,12,10.165.82.149,0,,,,,28,21,xzgxdli3,0.05,0,0.95,0,1,0
1,mp47cfbg,aone,1,1,9,10.165.82.149,100,,,,,29,26,xzgxdli3,0.8,0,0.2,0,0.9,0.1
1,mp47cfbg,aone,1,1,11,10.165.82.149,51,,,,,30,67,xzgxdli3,0.75,0,0.25,0,0.9,0.1
1,mp47cfbg,aone,1,1,19,10.165.82.149,90,,,,,31,15,xzgxdli3,0.7,0,0.3,0,0.9,0.1
1,mp47cfbg,aone,1,1,13,10.165.82.149,75,,,,,32,61,xzgxdli3,0.65,0,0.35,0,0.9,0.1
1,mp47cfbg,aone,1,1,13,10.165.82.149,85,,,,,33,59,xzgxdli3,0.6,0,0.4,0,0.9,0.1
1,mp47cfbg,aone,1,1,12,10.165.82.149,54,,,,,34,55,xzgxdli3,0.55,0,0.45,0,0.9,0.1
1,mp47cfbg,aone,1,1,8,10.165.82.149,0,,,,,35,16,xzgxdli3,0.5,0,0.5,0,0.9,0.1
1,mp47cfbg,aone,1,1,12,10.165.82.149,88,,,,,36,34,xzgxdli3,0.45,0,0.55,0,0.9,0.1
1,mp47cfbg,aone,1,1,28,10.165.82.149,0,,,,,37,6,xzgxdli3,0.4,0,0.6,0,0.9,0.1
1,mp47cfbg,aone,1,1,9,10.165.82.149,34,,,,,38,51,xzgxdli3,0.35,0,0.65,0,0.9,0.1
1,mp47cfbg,aone,1,1,13,10.165.82.149,0,,,,,39,78,xzgxdli3,0.3,0,0.7,0,0.9,0.1
1,mp47cfbg,aone,1,1,14,10.165.82.149,0,,,,,40,31,xzgxdli3,0.25,0,0.75,0,0.9,0.1
1,mp47cfbg,aone,1,1,12,10.165.82.149,75,,,,,41,39,xzgxdli3,0.2,0,0.8,0,0.9,0.1
1,mp47cfbg,aone,1,1,8,10.165.82.149,0,,,,,42,13,xzgxdli3,0.15,0,0.85,0,0.9,0.1
1,mp47cfbg,aone,1,1,10,10.165.82.149,0,,,,,43,10,xzgxdli3,0.1,0,0.9,0,0.9,0.1
1,mp47cfbg,aone,1,1,9,10.165.82.149,0,,,,,44,53,xzgxdli3,0.05,0,0.95,0,0.9,0.1
1,mp47cfbg,aone,1,1,18,10.165.82.149,90,,,,,45,27,xzgxdli3,0.65,0,0.35,0,0.75,0.25
1,mp47cfbg,aone,1,1,31,10.165.82.149,80,55,60,75,60,46,1,xzgxdli3,0.6,0,0.4,0,0.75,0.25
1,mp47cfbg,aone,1,1,12,10.165.82.149,90,,,,,47,33,xzgxdli3,0.55,0,0.45,0,0.75,0.25
1,mp47cfbg,aone,1,1,10,10.165.82.149,89,,,,,48,29,xzgxdli3,0.5,0,0.5,0,0.75,0.25
1,mp47cfbg,aone,1,1,19,10.165.82.149,54,,,,,49,20,xzgxdli3,0.45,0,0.55,0,0.75,0.25
1,mp47cfbg,aone,1,1,14,10.165.82.149,42,,,,,50,54,xzgxdli3,0.4,0,0.6,0,0.75,0.25
1,mp47cfbg,aone,1,1,16,10.165.82.149,44,,,,,51,69,xzgxdli3,0.35,0,0.65,0,0.75,0.25
1,mp47cfbg,aone,1,1,10,10.165.82.149,0,,,,,52,58,xzgxdli3,0.3,0,0.7,0,0.75,0.25
1,mp47cfbg,aone,1,1,10,10.165.82.149,100,,,,,53,5,xzgxdli3,0.25,0,0.75,0,0.75,0.25
1,mp47cfbg,aone,1,1,7,10.165.82.149,0,,,,,54,47,xzgxdli3,0.2,0,0.8,0,0.75,0.25
1,mp47cfbg,aone,1,1,7,10.165.82.149,0,,,,,55,68,xzgxdli3,0.15,0,0.85,0,0.75,0.25
1,mp47cfbg,aone,1,1,10,10.165.82.149,45,,,,,56,37,xzgxdli3,0.1,0,0.9,0,0.75,0.25
1,mp47cfbg,aone,1,1,11,10.165.82.149,0,,,,,57,76,xzgxdli3,0.05,0,0.95,0,0.75,0.25
1,mp47cfbg,aone,1,1,22,10.165.82.149,100,,,,,58,66,xzgxdli3,0.5,0,0.5,0,0.6,0.4
1,mp47cfbg,aone,1,1,20,10.165.82.149,0,,,,,59,19,xzgxdli3,0.45,0,0.55,0,0.6,0.4
1,mp47cfbg,aone,1,1,14,10.165.82.149,41,,,,,60,63,xzgxdli3,0.4,0,0.6,0,0.6,0.4
1,mp47cfbg,aone,1,1,11,10.165.82.149,85,,,,,61,35,xzgxdli3,0.35,0,0.65,0,0.6,0.4
1,mp47cfbg,aone,1,1,18,10.165.82.149,83,,,,,62,74,xzgxdli3,0.3,0,0.7,0,0.6,0.4
1,mp47cfbg,aone,1,1,9,10.165.82.149,0,,,,,63,65,xzgxdli3,0.25,0,0.75,0,0.6,0.4
1,mp47cfbg,aone,1,1,17,10.165.82.149,68,,,,,64,28,xzgxdli3,0.2,0,0.8,0,0.6,0.4
1,mp47cfbg,aone,1,1,9,10.165.82.149,0,,,,,65,72,xzgxdli3,0.15,0,0.85,0,0.6,0.4
1,mp47cfbg,aone,1,1,12,10.165.82.149,0,,,,,66,45,xzgxdli3,0.1,0,0.9,0,0.6,0.4
1,mp47cfbg,aone,1,1,7,10.165.82.149,0,,,,,67,62,xzgxdli3,0.05,0,0.95,0,0.6,0.4
1,mp47cfbg,aone,1,1,7,10.165.82.149,100,,,,,68,25,xzgxdli3,0.35,0,0.65,0,0.45,0.55
1,mp47cfbg,aone,1,1,22,10.165.82.149,85,,,,,69,48,xzgxdli3,0.3,0,0.7,0,0.45,0.55
1,mp47cfbg,aone,1,1,8,10.165.82.149,100,,,,,70,9,xzgxdli3,0.25,0,0.75,0,0.45,0.55
1,mp47cfbg,aone,1,1,8,10.165.82.149,0,,,,,71,46,xzgxdli3,0.2,0,0.8,0,0.45,0.55
1,mp47cfbg,aone,1,1,14,10.165.82.149,0,,,,,72,3,xzgxdli3,0.15,0,0.85,0,0.45,0.55
1,mp47cfbg,aone,1,1,8,10.165.82.149,100,,,,,73,18,xzgxdli3,0.1,0,0.9,0,0.45,0.55
1,mp47cfbg,aone,1,1,10,10.165.82.149,0,,,,,74,38,xzgxdli3,0.05,0,0.95,0,0.45,0.55
1,mp47cfbg,aone,1,1,10,10.165.82.149,100,,,,,75,56,xzgxdli3,0.2,0,0.8,0,0.3,0.7
1,mp47cfbg,aone,1,1,8,10.165.82.149,0,,,,,76,70,xzgxdli3,0.15,0,0.85,0,0.3,0.7
1,mp47cfbg,aone,1,1,15,10.165.82.149,49,,,,,77,36,xzgxdli3,0.1,0,0.9,0,0.3,0.7
1,mp47cfbg,aone,1,1,10,10.165.82.149,100,,,,,78,7,xzgxdli3,0.05,0,0.95,0,0.3,0.7
1,mp47cfbg,aone,1,1,8,10.165.82.149,0,,,,,79,64,xzgxdli3,0.05,0,0.95,0,0.15,0.85
1,mp47cfbg,aone,1,1,97,10.165.82.149,100,,,,,80,80,xzgxdli3,0.65,0,0.35,0,0.9,0.1
1,mp47cfbg,aone,1,1,6,10.165.82.149,100,,,,,81,81,xzgxdli3,0.65,0,0.35,0,0.9,0.1
1,mp47cfbg,aone,1,1,9,10.165.82.149,100,,,,,82,82,xzgxdli3,0.65,0,0.35,0,0.9,0.1
1,mp47cfbg,aone,1,1,9,10.165.82.149,100,,,,,83,83,xzgxdli3,0.05,0,0.95,0.5,0.5,0
1,mp47cfbg,aone,1,1,6,10.165.82.149,100,,,,,84,84,xzgxdli3,0.05,0,0.95,0.5,0.5,0
1,mp47cfbg,aone,1,1,5,10.165.82.149,100,,,,,85,85,xzgxdli3,0.05,0,0.95,0.5,0.5,0
2,goykr5sb,btwo,1,2,20,10.43.193.98,100,,,,,1,53,xzgxdli3,0.95,0,0.05,0.5,0.5,0
2,goykr5sb,btwo,1,2,11,10.43.193.98,100,,,,,2,63,xzgxdli3,0.9,0,0.1,0.5,0.5,0
2,goykr5sb,btwo,1,2,25,10.43.193.98,100,,,,,3,3,xzgxdli3,0.85,0,0.15,0.5,0.5,0
2,goykr5sb,btwo,1,2,27,10.43.193.98,100,,,,,4,37,xzgxdli3,0.8,0,0.2,0.5,0.5,0
2,goykr5sb,btwo,1,2,18,10.43.193.98,100,,,,,5,42,xzgxdli3,0.75,0,0.25,0.5,0.5,0
2,goykr5sb,btwo,1,2,15,10.43.193.98,100,,,,,6,60,xzgxdli3,0.7,0,0.3,0.5,0.5,0
2,goykr5sb,btwo,1,2,25,10.43.193.98,100,,,,,7,65,xzgxdli3,0.65,0,0.35,0.5,0.5,0
2,goykr5sb,btwo,1,2,50,10.43.193.98,0,,,,,8,57,xzgxdli3,0.6,0,0.4,0.5,0.5,0
2,goykr5sb,btwo,1,2,21,10.43.193.98,100,,,,,9,76,xzgxdli3,0.55,0,0.45,0.5,0.5,0
2,goykr5sb,btwo,1,2,16,10.43.193.98,100,,,,,10,49,xzgxdli3,0.95,0,0.05,0,1,0
2,goykr5sb,btwo,1,2,14,10.43.193.98,100,,,,,11,48,xzgxdli3,0.9,0,0.1,0,1,0
2,goykr5sb,btwo,1,2,20,10.43.193.98,100,,,,,12,25,xzgxdli3,0.85,0,0.15,0,1,0
2,goykr5sb,btwo,1,2,22,10.43.193.98,100,,,,,13,39,xzgxdli3,0.8,0,0.2,0,1,0
2,goykr5sb,btwo,1,2,12,10.43.193.98,100,,,,,14,61,xzgxdli3,0.75,0,0.25,0,1,0
2,goykr5sb,btwo,1,2,16,10.43.193.98,100,,,,,15,71,xzgxdli3,0.7,0,0.3,0,1,0
2,goykr5sb,btwo,1,2,20,10.43.193.98,100,,,,,16,9,xzgxdli3,0.65,0,0.35,0,1,0
2,goykr5sb,btwo,1,2,21,10.43.193.98,100,,,,,17,33,xzgxdli3,0.6,0,0.4,0,1,0
2,goykr5sb,btwo,1,2,25,10.43.193.98,100,,,,,18,47,xzgxdli3,0.55,0,0.45,0,1,0
2,goykr5sb,btwo,1,2,27,10.43.193.98,33,,,,,19,30,xzgxdli3,0.5,0,0.5,0,1,0
2,goykr5sb,btwo,1,2,12,10.43.193.98,0,,,,,20,45,xzgxdli3,0.45,0,0.55,0,1,0
2,goykr5sb,btwo,1,2,15,10.43.193.98,0,,,,,21,6,xzgxdli3,0.4,0,0.6,0,1,0
2,goykr5sb,btwo,1,2,15,10.43.193.98,54,,,,,22,68,xzgxdli3,0.35,0,0.65,0,1,0
2,goykr5sb,btwo,1,2,26,10.43.193.98,0,,,,,23,35,xzgxdli3,0.3,0,0.7,0,1,0
2,goykr5sb,btwo,1,2,16,10.43.193.98,0,,,,,24,15,xzgxdli3,0.25,0,0.75,0,1,0
2,goykr5sb,btwo,1,2,22,10.43.193.98,36,,,,,25,66,xzgxdli3,0.2,0,0.8,0,1,0
2,goykr5sb,btwo,1,2,23,10.43.193.98,10,,,,,26,27,xzgxdli3,0.15,0,0.85,0,1,0
2,goykr5sb,btwo,1,2,11,10.43.193.98,0,,,,,27,55,xzgxdli3,0.1,0,0.9,0,1,0
2,goykr5sb,btwo,1,2,27,10.43.193.98,5,,,,,28,23,xzgxdli3,0.05,0,0.95,0,1,0
2,goykr5sb,btwo,1,2,19,10.43.193.98,100,,,,,29,22,xzgxdli3,0.8,0,0.2,0,0.9,0.1
2,goykr5sb,btwo,1,2,11,10.43.193.98,100,,,,,30,50,xzgxdli3,0.75,0,0.25,0,0.9,0.1
2,goykr5sb,btwo,1,2,10,10.43.193.98,100,,,,,31,73,xzgxdli3,0.7,0,0.3,0,0.9,0.1
2,goykr5sb,btwo,1,2,20,10.43.193.98,100,,,,,32,5,xzgxdli3,0.65,0,0.35,0,0.9,0.1
2,goykr5sb,btwo,1,2,20,10.43.193.98,50,,,,,33,67,xzgxdli3,0.6,0,0.4,0,0.9,0.1
2,goykr5sb,btwo,1,2,19,10.43.193.98,0,,,,,34,43,xzgxdli3,0.55,0,0.45,0,0.9,0.1
2,goykr5sb,btwo,1,2,14,10.43.193.98,100,,,,,35,59,xzgxdli3,0.5,0,0.5,0,0.9,0.1
2,goykr5sb,btwo,1,2,12,10.43.193.98,0,,,,,36,36,xzgxdli3,0.45,0,0.55,0,0.9,0.1
2,goykr5sb,btwo,1,2,11,10.43.193.98,0,,,,,37,44,xzgxdli3,0.4,0,0.6,0,0.9,0.1
2,goykr5sb,btwo,1,2,27,10.43.193.98,0,,,,,38,18,xzgxdli3,0.35,0,0.65,0,0.9,0.1
2,goykr5sb,btwo,1,2,15,10.43.193.98,0,,,,,39,21,xzgxdli3,0.3,0,0.7,0,0.9,0.1
2,goykr5sb,btwo,1,2,12,10.43.193.98,0,,,,,40,54,xzgxdli3,0.25,0,0.75,0,0.9,0.1
2,goykr5sb,btwo,1,2,8,10.43.193.98,0,,,,,41,77,xzgxdli3,0.2,0,0.8,0,0.9,0.1
2,goykr5sb,btwo,1,2,15,10.43.193.98,0,,,,,42,12,xzgxdli3,0.15,0,0.85,0,0.9,0.1
2,goykr5sb,btwo,1,2,12,10.43.193.98,0,,,,,43,52,xzgxdli3,0.1,0,0.9,0,0.9,0.1
2,goykr5sb,btwo,1,2,14,10.43.193.98,0,,,,,44,11,xzgxdli3,0.05,0,0.95,0,0.9,0.1
2,goykr5sb,btwo,1,2,15,10.43.193.98,0,,,,,45,4,xzgxdli3,0.65,0,0.35,0,0.75,0.25
2,goykr5sb,btwo,1,2,11,10.43.193.98,100,,,,,46,72,xzgxdli3,0.6,0,0.4,0,0.75,0.25
2,goykr5sb,btwo,1,2,15,10.43.193.98,100,,,,,47,46,xzgxdli3,0.55,0,0.45,0,0.75,0.25
2,goykr5sb,btwo,1,2,15,10.43.193.98,0,,,,,48,10,xzgxdli3,0.5,0,0.5,0,0.75,0.25
2,goykr5sb,btwo,1,2,29,10.43.193.98,41,,,,,49,28,xzgxdli3,0.45,0,0.55,0,0.75,0.25
2,goykr5sb,btwo,1,2,13,10.43.193.98,100,,,,,50,58,xzgxdli3,0.4,0,0.6,0,0.75,0.25
2,goykr5sb,btwo,1,2,14,10.43.193.98,100,,,,,51,19,xzgxdli3,0.35,0,0.65,0,0.75,0.25
2,goykr5sb,btwo,1,2,9,10.43.193.98,0,,,,,52,62,xzgxdli3,0.3,0,0.7,0,0.75,0.25
2,goykr5sb,btwo,1,2,14,10.43.193.98,0,,,,,53,34,xzgxdli3,0.25,0,0.75,0,0.75,0.25
2,goykr5sb,btwo,1,2,8,10.43.193.98,0,,,,,54,75,xzgxdli3,0.2,0,0.8,0,0.75,0.25
2,goykr5sb,btwo,1,2,13,10.43.193.98,0,,,,,55,8,xzgxdli3,0.15,0,0.85,0,0.75,0.25
2,goykr5sb,btwo,1,2,11,10.43.193.98,0,,,,,56,31,xzgxdli3,0.1,0,0.9,0,0.75,0.25
2,goykr5sb,btwo,1,2,11,10.43.193.98,0,,,,,57,16,xzgxdli3,0.05,0,0.95,0,0.75,0.25
2,goykr5sb,btwo,1,2,16,10.43.193.98,68,,,,,58,79,xzgxdli3,0.5,0,0.5,0,0.6,0.4
2,goykr5sb,btwo,1,2,21,10.43.193.98,100,,,,,59,7,xzgxdli3,0.45,0,0.55,0,0.6,0.4
2,goykr5sb,btwo,1,2,28,10.43.193.98,87,,,,,60,20,xzgxdli3,0.4,0,0.6,0,0.6,0.4
2,goykr5sb,btwo,1,2,17,10.43.193.98,61,,,,,61,70,xzgxdli3,0.35,0,0.65,0,0.6,0.4
2,goykr5sb,btwo,1,2,43,10.43.193.98,64,,,,,62,64,xzgxdli3,0.3,0,0.7,0,0.6,0.4
2,goykr5sb,btwo,1,2,6,10.43.193.98,0,,,,,63,78,xzgxdli3,0.25,0,0.75,0,0.6,0.4
2,goykr5sb,btwo,1,2,11,10.43.193.98,0,,,,,64,56,xzgxdli3,0.2,0,0.8,0,0.6,0.4
2,goykr5sb,btwo,1,2,21,10.43.193.98,0,,,,,65,13,xzgxdli3,0.15,0,0.85,0,0.6,0.4
2,goykr5sb,btwo,1,2,16,10.43.193.98,0,,,,,66,38,xzgxdli3,0.1,0,0.9,0,0.6,0.4
2,goykr5sb,btwo,1,2,18,10.43.193.98,0,,,,,67,40,xzgxdli3,0.05,0,0.95,0,0.6,0.4
2,goykr5sb,btwo,1,2,12,10.43.193.98,0,,,,,68,51,xzgxdli3,0.35,0,0.65,0,0.45,0.55
2,goykr5sb,btwo,1,2,24,10.43.193.98,0,,,,,69,2,xzgxdli3,0.3,0,0.7,0,0.45,0.55
2,goykr5sb,btwo,1,2,46,10.43.193.98,60,,,,,70,17,xzgxdli3,0.25,0,0.75,0,0.45,0.55
2,goykr5sb,btwo,1,2,13,10.43.193.98,0,,,,,71,29,xzgxdli3,0.2,0,0.8,0,0.45,0.55
2,goykr5sb,btwo,1,2,17,10.43.193.98,0,,,,,72,14,xzgxdli3,0.15,0,0.85,0,0.45,0.55
2,goykr5sb,btwo,1,2,15,10.43.193.98,0,,,,,73,69,xzgxdli3,0.1,0,0.9,0,0.45,0.55
2,goykr5sb,btwo,1,2,15,10.43.193.98,0,,,,,74,41,xzgxdli3,0.05,0,0.95,0,0.45,0.55
2,goykr5sb,btwo,1,2,27,10.43.193.98,43,,,,,75,32,xzgxdli3,0.2,0,0.8,0,0.3,0.7
2,goykr5sb,btwo,1,2,41,10.43.193.98,31,,,,,76,24,xzgxdli3,0.15,0,0.85,0,0.3,0.7
2,goykr5sb,btwo,1,2,21,10.43.193.98,0,100,100,100,100,77,1,xzgxdli3,0.1,0,0.9,0,0.3,0.7
2,goykr5sb,btwo,1,2,18,10.43.193.98,16,,,,,78,26,xzgxdli3,0.05,0,0.95,0,0.3,0.7
2,goykr5sb,btwo,1,2,22,10.43.193.98,0,,,,,79,74,xzgxdli3,0.05,0,0.95,0,0.15,0.85
2,goykr5sb,btwo,1,2,14,10.43.193.98,100,,,,,80,80,xzgxdli3,0.65,0,0.35,0,0.9,0.1
2,goykr5sb,btwo,1,2,19,10.43.193.98,100,,,,,81,81,xzgxdli3,0.65,0,0.35,0,0.9,0.1
2,goykr5sb,btwo,1,2,8,10.43.193.98,100,,,,,82,82,xzgxdli3,0.65,0,0.35,0,0.9,0.1
2,goykr5sb,btwo,1,2,10,10.43.193.98,100,,,,,83,83,xzgxdli3,0.05,0,0.95,0.5,0.5,0
2,goykr5sb,btwo,1,2,7,10.43.193.98,100,,,,,84,84,xzgxdli3,0.05,0,0.95,0.5,0.5,0
2,goykr5sb,btwo,1,2,8,10.43.193.98,100,,,,,85,85,xzgxdli3,0.05,0,0.95,0.5,0.5,0
3,rdchw2go,cthree,1,3,16,10.31.48.252,100,,,,,1,35,xzgxdli3,0.95,0,0.05,0.5,0.5,0
3,rdchw2go,cthree,1,3,21,10.31.48.252,100,,,,,2,12,xzgxdli3,0.9,0,0.1,0.5,0.5,0
3,rdchw2go,cthree,1,3,12,10.31.48.252,100,,,,,3,30,xzgxdli3,0.85,0,0.15,0.5,0.5,0
3,rdchw2go,cthree,1,3,12,10.31.48.252,100,,,,,4,53,xzgxdli3,0.8,0,0.2,0.5,0.5,0
3,rdchw2go,cthree,1,3,12,10.31.48.252,100,,,,,5,25,xzgxdli3,0.75,0,0.25,0.5,0.5,0
3,rdchw2go,cthree,1,3,22,10.31.48.252,100,,,,,6,5,xzgxdli3,0.7,0,0.3,0.5,0.5,0
3,rdchw2go,cthree,1,3,12,10.31.48.252,100,,,,,7,40,xzgxdli3,0.65,0,0.35,0.5,0.5,0
3,rdchw2go,cthree,1,3,18,10.31.48.252,100,,,,,8,69,xzgxdli3,0.6,0,0.4,0.5,0.5,0
3,rdchw2go,cthree,1,3,74,10.31.48.252,0,100,10,72,26,9,1,xzgxdli3,0.55,0,0.45,0.5,0.5,0
3,rdchw2go,cthree,1,3,9,10.31.48.252,100,,,,,10,74,xzgxdli3,0.95,0,0.05,0,1,0
3,rdchw2go,cthree,1,3,9,10.31.48.252,100,,,,,11,34,xzgxdli3,0.9,0,0.1,0,1,0
3,rdchw2go,cthree,1,3,10,10.31.48.252,100,,,,,12,43,xzgxdli3,0.85,0,0.15,0,1,0
3,rdchw2go,cthree,1,3,10,10.31.48.252,100,,,,,13,33,xzgxdli3,0.8,0,0.2,0,1,0
3,rdchw2go,cthree,1,3,9,10.31.48.252,100,,,,,14,58,xzgxdli3,0.75,0,0.25,0,1,0
3,rdchw2go,cthree,1,3,22,10.31.48.252,100,,,,,15,9,xzgxdli3,0.7,0,0.3,0,1,0
3,rdchw2go,cthree,1,3,9,10.31.48.252,100,,,,,16,32,xzgxdli3,0.65,0,0.35,0,1,0
3,rdchw2go,cthree,1,3,8,10.31.48.252,100,,,,,17,44,xzgxdli3,0.6,0,0.4,0,1,0
3,rdchw2go,cthree,1,3,9,10.31.48.252,100,,,,,18,71,xzgxdli3,0.55,0,0.45,0,1,0
3,rdchw2go,cthree,1,3,29,10.31.48.252,100,,,,,19,2,xzgxdli3,0.5,0,0.5,0,1,0
3,rdchw2go,cthree,1,3,8,10.31.48.252,100,,,,,20,16,xzgxdli3,0.45,0,0.55,0,1,0
3,rdchw2go,cthree,1,3,10,10.31.48.252,100,,,,,21,52,xzgxdli3,0.4,0,0.6,0,1,0
3,rdchw2go,cthree,1,3,11,10.31.48.252,100,,,,,22,6,xzgxdli3,0.35,0,0.65,0,1,0
3,rdchw2go,cthree,1,3,11,10.31.48.252,100,,,,,23,47,xzgxdli3,0.3,0,0.7,0,1,0
3,rdchw2go,cthree,1,3,14,10.31.48.252,100,,,,,24,36,xzgxdli3,0.25,0,0.75,0,1,0
3,rdchw2go,cthree,1,3,9,10.31.48.252,0,,,,,25,20,xzgxdli3,0.2,0,0.8,0,1,0
3,rdchw2go,cthree,1,3,7,10.31.48.252,100,,,,,26,73,xzgxdli3,0.15,0,0.85,0,1,0
3,rdchw2go,cthree,1,3,7,10.31.48.252,0,,,,,27,55,xzgxdli3,0.1,0,0.9,0,1,0
3,rdchw2go,cthree,1,3,7,10.31.48.252,0,,,,,28,38,xzgxdli3,0.05,0,0.95,0,1,0
3,rdchw2go,cthree,1,3,11,10.31.48.252,100,,,,,29,70,xzgxdli3,0.8,0,0.2,0,0.9,0.1
3,rdchw2go,cthree,1,3,8,10.31.48.252,100,,,,,30,57,xzgxdli3,0.75,0,0.25,0,0.9,0.1
3,rdchw2go,cthree,1,3,10,10.31.48.252,100,,,,,31,51,xzgxdli3,0.7,0,0.3,0,0.9,0.1
3,rdchw2go,cthree,1,3,11,10.31.48.252,100,,,,,32,4,xzgxdli3,0.65,0,0.35,0,0.9,0.1
3,rdchw2go,cthree,1,3,10,10.31.48.252,100,,,,,33,79,xzgxdli3,0.6,0,0.4,0,0.9,0.1
3,rdchw2go,cthree,1,3,13,10.31.48.252,100,,,,,34,15,xzgxdli3,0.55,0,0.45,0,0.9,0.1
3,rdchw2go,cthree,1,3,10,10.31.48.252,100,,,,,35,19,xzgxdli3,0.5,0,0.5,0,0.9,0.1
3,rdchw2go,cthree,1,3,13,10.31.48.252,100,,,,,36,8,xzgxdli3,0.45,0,0.55,0,0.9,0.1
3,rdchw2go,cthree,1,3,11,10.31.48.252,100,,,,,37,22,xzgxdli3,0.4,0,0.6,0,0.9,0.1
3,rdchw2go,cthree,1,3,10,10.31.48.252,100,,,,,38,63,xzgxdli3,0.35,0,0.65,0,0.9,0.1
3,rdchw2go,cthree,1,3,11,10.31.48.252,100,,,,,39,77,xzgxdli3,0.3,0,0.7,0,0.9,0.1
3,rdchw2go,cthree,1,3,10,10.31.48.252,100,,,,,40,17,xzgxdli3,0.25,0,0.75,0,0.9,0.1
3,rdchw2go,cthree,1,3,11,10.31.48.252,0,,,,,41,26,xzgxdli3,0.2,0,0.8,0,0.9,0.1
3,rdchw2go,cthree,1,3,13,10.31.48.252,100,,,,,42,78,xzgxdli3,0.15,0,0.85,0,0.9,0.1
3,rdchw2go,cthree,1,3,8,10.31.48.252,0,,,,,43,67,xzgxdli3,0.1,0,0.9,0,0.9,0.1
3,rdchw2go,cthree,1,3,9,10.31.48.252,0,,,,,44,39,xzgxdli3,0.05,0,0.95,0,0.9,0.1
3,rdchw2go,cthree,1,3,9,10.31.48.252,100,,,,,45,56,xzgxdli3,0.65,0,0.35,0,0.75,0.25
